dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000495,11.000000,0.000800,0.080000,4.000000,200.000000,6.282690
0.020000,6.000302,11.000000,0.000994,0.009682,-3.515885,-375.794236,6.282884
0.020000,6.001331,11.000000,0.002023,0.051444,2.088061,280.197288,0.000086
0.020000,6.010349,11.000003,0.011041,0.450906,19.973130,894.253471,0.000668
0.020000,6.022372,11.000016,0.023064,0.601146,7.511986,-623.057229,0.001445
0.020000,6.037398,11.000045,0.038090,0.751330,7.509224,-0.138075,0.002418
0.020000,6.055427,11.000099,0.056119,0.901449,7.505910,-0.165699,0.003589
0.020000,6.076457,11.000189,0.077149,1.051479,7.501546,-0.218226,0.004960
0.020000,6.100485,11.000327,0.101177,1.201432,7.497612,-0.196698,0.006531
0.020000,6.127509,11.000528,0.128203,1.351270,7.491931,-0.284055,0.008306
0.020000,6.157528,11.000807,0.158222,1.500986,7.485775,-0.307792,0.010286
0.020000,6.190537,11.001182,0.191234,1.650561,7.478778,-0.349826,0.012475
0.020000,6.226533,11.001675,0.227233,1.799980,7.470944,-0.391725,0.014875
0.020000,6.265513,11.002305,0.266218,1.949258,7.463892,-0.352582,0.017490
0.020000,6.307472,11.003099,0.308185,2.098332,7.453702,-0.509526,0.020323
0.020000,6.352406,11.004081,0.353129,2.247210,7.443914,-0.489372,0.023379
0.020000,6.400309,11.005279,0.401047,2.395904,7.434668,-0.462303,0.026661
0.020000,6.451175,11.006725,0.451934,2.544345,7.422066,-0.630109,0.030174
0.020000,6.504999,11.008450,0.505786,2.692564,7.410936,-0.556519,0.033923
0.020000,6.561772,11.010490,0.562596,2.840509,7.397260,-0.683801,0.037912
0.020000,6.621488,11.012882,0.622360,2.988194,7.384251,-0.650453,0.042149
0.020000,6.684138,11.015665,0.685071,3.135573,7.368957,-0.764677,0.046637
0.020000,6.749713,11.018881,0.750724,3.282664,7.354557,-0.720006,0.051383
0.020000,6.818202,11.022575,0.819313,3.429435,7.338538,-0.800957,0.056395
0.020000,6.889594,11.026794,0.890830,3.575843,7.320418,-0.905980,0.061678
0.020000,6.963878,11.031589,0.965268,3.721918,7.303747,-0.833582,0.067239
0.020000,7.041040,11.037011,1.042621,3.867612,7.284657,-0.954476,0.073087
0.020000,7.121066,11.043117,1.122879,4.012916,7.265210,-0.972359,0.079229
0.020000,7.203939,11.049965,1.206035,4.157811,7.244763,-1.022339,0.085672
0.020000,7.289644,11.057616,1.292081,4.302296,7.224270,-1.024645,0.092426
0.020000,7.378162,11.066136,1.381008,4.446335,7.201947,-1.116157,0.099499
0.020000,7.469472,11.075592,1.472806,4.589921,7.179287,-1.132982,0.106901
0.020000,7.563553,11.086056,1.567467,4.733056,7.156741,-1.127326,0.114639
0.020000,7.660381,11.097601,1.664981,4.875696,7.132004,-1.236840,0.122725
0.020000,7.759931,11.110305,1.765338,5.017863,7.108364,-1.182010,0.131168
0.020000,7.862175,11.124251,1.868529,5.159517,7.082688,-1.283790,0.139977
0.020000,7.967082,11.139523,1.974542,5.300664,7.057364,-1.266216,0.149163
0.020000,8.074622,11.156209,2.083368,5.441310,7.032301,-1.253122,0.158737
0.020000,8.184758,11.174403,2.194997,5.581426,7.005806,-1.324758,0.168707
0.020000,8.297453,11.194198,2.309418,5.721039,6.980635,-1.258570,0.179086
0.020000,8.412667,11.215696,2.426620,5.860130,6.954533,-1.305102,0.189883
0.020000,8.530356,11.239000,2.546595,5.998717,6.929348,-1.259257,0.201108
0.020000,8.650474,11.264216,2.669331,6.136821,6.905195,-1.207640,0.212771
0.020000,8.772971,11.291456,2.794820,6.274441,6.881006,-1.209440,0.224881
0.020000,8.897793,11.320833,2.923052,6.411622,6.859045,-1.098074,0.237448
0.020000,9.024883,11.352467,3.054020,6.548375,6.837678,-1.068318,0.250480
0.020000,9.154180,11.386477,3.187715,6.684748,6.818629,-0.952440,0.263984
0.020000,9.285618,11.422989,3.324131,6.820794,6.802309,-0.816041,0.277967
0.020000,9.419130,11.462132,3.463262,6.956551,6.787865,-0.722170,0.292434
0.020000,9.554641,11.504035,3.605104,7.092098,6.777359,-0.525329,0.307391
0.020000,9.691389,11.548603,3.748931,7.191383,4.964236,-90.656138,0.322762
0.020000,9.827945,11.595462,3.893303,7.218601,1.360889,-180.167345,0.338388
0.020000,9.963590,11.644404,4.037507,7.210190,-0.420556,-89.072249,0.354183
0.020000,10.098294,11.695437,4.181554,7.202349,-0.392057,1.424955,0.370135
0.020000,10.232028,11.748568,4.325456,7.195115,-0.361690,1.518367,0.386231
0.020000,10.364765,11.803804,4.469227,7.188524,-0.329558,1.606565,0.402459
0.020000,10.496475,11.861147,4.612879,7.182608,-0.295789,1.688473,0.418805
0.020000,10.627133,11.920599,4.756427,7.177397,-0.260527,1.763078,0.435255
0.020000,10.756712,11.982160,4.899885,7.172919,-0.223938,1.829457,0.451795
0.020000,10.885185,12.045827,5.043269,7.169195,-0.186202,1.886801,0.468410
0.020000,11.012528,12.111597,5.186594,7.166244,-0.147513,1.934442,0.485083
0.020000,11.138718,12.179463,5.329876,7.164083,-0.108076,1.971876,0.501800
0.020000,11.263731,12.249418,5.473130,7.162721,-0.068100,1.998776,0.518544
0.020000,11.387544,12.321451,5.616373,7.162165,-0.027800,2.015012,0.535299
0.020000,11.510138,12.395552,5.759622,7.162417,0.012613,2.020652,0.552049
0.020000,11.631492,12.471705,5.902891,7.163458,0.052058,1.972249,0.568778
0.020000,11.751587,12.549895,6.046197,7.165304,0.092267,2.010458,0.585470
0.020000,11.870406,12.630106,6.189556,7.167937,0.131653,1.969269,0.602110
0.020000,11.987932,12.712318,6.332982,7.171310,0.168671,1.850947,0.618682
0.020000,12.104150,12.796509,6.476491,7.175451,0.207057,1.919279,0.635171
0.020000,12.219046,12.882659,6.620097,7.180298,0.242359,1.765104,0.651564
0.020000,12.332606,12.970741,6.763813,7.185824,0.276300,1.697040,0.667845
0.020000,12.444819,13.060732,6.907654,7.192023,0.309919,1.680949,0.684003
0.020000,12.555674,13.152603,7.051631,7.198841,0.340901,1.549081,0.700025
0.020000,12.665163,13.246327,7.195756,7.206245,0.370191,1.464500,0.715898
0.020000,12.773277,13.341874,7.340040,7.214200,0.397770,1.378968,0.731613
0.020000,12.880009,13.439214,7.484493,7.222670,0.423497,1.286353,0.747158
0.020000,12.985354,13.538313,7.629124,7.231571,0.445067,1.078508,0.762525
0.020000,13.089308,13.639141,7.773944,7.240957,0.469310,1.212165,0.777705
