dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.999505,9.000000,0.000800,0.080000,4.000000,200.000000,6.282690
0.020000,5.999698,9.000000,0.000994,0.009682,-3.515885,-375.794236,6.282884
0.020000,6.001502,9.000000,0.002798,0.090196,4.025681,377.078311,0.000086
0.020000,6.011684,9.000004,0.012980,0.509098,20.945091,845.970486,0.000668
0.020000,6.025261,9.000018,0.026557,0.678859,8.488056,-622.851740,0.001445
0.020000,6.042235,9.000051,0.043530,0.848671,8.490619,0.128148,0.002418
0.020000,6.062606,9.000112,0.063901,1.018551,8.493995,0.168791,0.003589
0.020000,6.086375,9.000214,0.087671,1.188504,8.497632,0.181830,0.004960
0.020000,6.113546,9.000370,0.114843,1.358568,8.503216,0.279227,0.006531
0.020000,6.144120,9.000597,0.145417,1.528734,8.508302,0.254294,0.008306
0.020000,6.178099,9.000913,0.179398,1.699021,8.514344,0.302083,0.010286
0.020000,6.215486,9.001338,0.216786,1.869440,8.520946,0.330090,0.012475
0.020000,6.256282,9.001896,0.257587,2.040003,8.528130,0.359217,0.014875
0.020000,6.300491,9.002611,0.301802,2.210758,8.537756,0.481323,0.017490
0.020000,6.348116,9.003512,0.349435,2.381666,8.545401,0.382230,0.020323
0.020000,6.399159,9.004627,0.400490,2.552768,8.555102,0.485021,0.023379
0.020000,6.453624,9.005990,0.454973,2.724109,8.567044,0.597132,0.026661
0.020000,6.511514,9.007635,0.512885,2.895645,8.576823,0.488919,0.030174
0.020000,6.572831,9.009601,0.574234,3.067444,8.589949,0.656322,0.033923
0.020000,6.637579,9.011928,0.639024,3.239482,8.601876,0.596334,0.037912
0.020000,6.705761,9.014658,0.707260,3.411807,8.616283,0.720390,0.042149
0.020000,6.777378,9.017839,0.778948,3.584404,8.629826,0.677125,0.046637
0.020000,6.852434,9.021520,0.854095,3.757327,8.646149,0.816172,0.051383
0.020000,6.930932,9.025754,0.932706,3.930575,8.662398,0.812442,0.056395
0.020000,7.012871,9.030597,1.014789,4.104135,8.678022,0.781192,0.061678
0.020000,7.098255,9.036108,1.100350,4.278077,8.697094,0.953599,0.067239
0.020000,7.187084,9.042350,1.189398,4.452381,8.715175,0.904044,0.073087
0.020000,7.279357,9.049391,1.281940,4.627073,8.734614,0.971948,0.079229
0.020000,7.375074,9.057300,1.377983,4.802166,8.754648,1.001709,0.085672
0.020000,7.474234,9.066153,1.477537,4.977693,8.776342,1.084682,0.092426
0.020000,7.576832,9.076028,1.580610,5.153644,8.797580,1.061892,0.099499
0.020000,7.682866,9.087009,1.687210,5.330045,8.820016,1.121800,0.106901
0.020000,7.792330,9.099183,1.797349,5.506926,8.844086,1.203511,0.114639
0.020000,7.905216,9.112643,1.911034,5.684266,8.866996,1.145507,0.122725
0.020000,8.021515,9.127486,2.028277,5.862115,8.892428,1.271622,0.131168
0.020000,8.141215,9.143813,2.149086,6.040446,8.916558,1.206496,0.139977
0.020000,8.264303,9.161731,2.273471,6.219285,8.941960,1.270108,0.149163
0.020000,8.390763,9.181354,2.401444,6.398651,8.968289,1.316447,0.158737
0.020000,8.520574,9.202797,2.533015,6.578516,8.993259,1.248488,0.168707
