dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,14.219238,4.983887,0.000100,0.020000,2.000000,200.000000,5.805757
0.010000,14.219112,4.983953,0.000243,0.014262,-0.573791,-257.379117,5.805900
0.010000,14.218827,4.984100,0.000563,0.032034,1.777231,235.102262,5.806220
0.010000,14.218498,4.984270,0.000933,0.037038,0.500359,-127.687250,5.806788
0.010000,14.219879,4.983558,0.002487,0.155342,11.830424,1133.006529,5.807634
0.010000,14.221729,4.982607,0.004567,0.208049,5.270680,-655.974457,5.808754
0.010000,14.224056,4.981414,0.007183,0.261524,5.347542,7.686198,5.810138
0.010000,14.226870,4.979976,0.010342,0.315998,5.447370,9.982878,5.811778
0.010000,14.230182,4.978292,0.014058,0.371587,5.558867,11.149652,5.813663
0.010000,14.234006,4.976357,0.018343,0.428480,5.689277,13.041028,5.815778
0.010000,14.238355,4.974169,0.023212,0.486863,5.838344,14.906661,5.818109
0.010000,14.243245,4.971723,0.028680,0.546800,5.993730,15.538664,5.820641
0.010000,14.248694,4.969015,0.034765,0.608513,6.171305,17.757493,5.823356
0.010000,14.254721,4.966041,0.041485,0.672050,6.353659,18.235348,5.826236
0.010000,14.261345,4.962797,0.048861,0.737585,6.553469,19.981058,5.829260
0.010000,14.268587,4.959278,0.056913,0.805136,6.755085,20.161567,5.832408
0.010000,14.276468,4.955479,0.065661,0.874847,6.971102,21.601672,5.835660
0.010000,14.285009,4.951397,0.075129,0.946743,7.189641,21.853885,5.838992
0.010000,14.294236,4.947025,0.085338,1.020938,7.419470,22.982948,5.842383
0.010000,14.304169,4.942360,0.096312,1.097430,7.649283,22.981239,5.845809
0.010000,14.314833,4.937396,0.108075,1.176282,7.885177,23.589465,5.849246
0.010000,14.326252,4.932129,0.120651,1.257553,8.127051,24.187372,5.852671
0.010000,14.338450,4.926552,0.134063,1.341205,8.365265,23.821406,5.856058
0.010000,14.351451,4.920661,0.148336,1.427346,8.614021,24.875585,5.859385
0.010000,14.365280,4.914450,0.163496,1.515957,8.861113,24.709262,5.862625
0.010000,14.379960,4.907912,0.179566,1.607049,9.109250,24.813645,5.865755
0.010000,14.395518,4.901041,0.196573,1.700697,9.364765,25.551513,5.868748
0.010000,14.411976,4.893829,0.214542,1.796897,9.619997,25.523167,5.871579
0.010000,14.429360,4.886268,0.233499,1.895702,9.880558,26.056114,5.874222
0.010000,14.447694,4.878349,0.253471,1.997157,10.145468,26.491048,5.876650
0.010000,14.467004,4.870062,0.274484,2.101334,10.417683,27.221491,5.878837
0.010000,14.487315,4.861394,0.296567,2.208296,10.696250,27.856673,5.880754
0.010000,14.508652,4.852333,0.319749,2.318157,10.986085,28.983523,5.882373
0.010000,14.531042,4.842863,0.344059,2.431043,11.288553,30.246765,5.883662
0.010000,14.554512,4.832967,0.369530,2.547080,11.603671,31.511781,5.884591
0.010000,14.579090,4.822625,0.396194,2.666471,11.939191,33.552017,5.885127
0.010000,14.604804,4.811815,0.424089,2.789426,12.295502,35.631163,5.885232
0.010000,14.631686,4.800510,0.453251,2.916211,12.678483,38.298013,5.884870
0.010000,14.659767,4.788680,0.483722,3.047144,13.093226,41.474367,5.883999
0.010000,14.689082,4.776290,0.515548,3.182593,13.544961,45.173502,5.882573
0.010000,14.719669,4.763301,0.548778,3.323028,14.043447,49.848541,5.880543
0.010000,14.751567,4.749667,0.583468,3.468950,14.592189,54.874253,5.877853
0.010000,14.784819,4.735333,0.619678,3.621026,15.207661,61.547163,5.874443
0.010000,14.819474,4.720239,0.657478,3.779998,15.897183,68.952188,5.870243
0.010000,14.855585,4.704311,0.696946,3.946758,16.675952,77.876888,5.865176
0.010000,14.893210,4.687465,0.738170,4.122397,17.563912,88.796013,5.859152
0.010000,14.932415,4.669603,0.781252,4.308189,18.579276,101.536377,5.852070
0.010000,14.973272,4.650609,0.826308,4.505660,19.747077,116.780166,5.843813
0.010000,15.015864,4.630345,0.873475,4.716675,21.101474,135.439686,5.834246
0.010000,15.060282,4.608648,0.922909,4.943421,22.674616,157.314200,5.823211
0.010000,15.106631,4.585324,0.974796,5.188633,24.521178,184.656147,5.810525
0.010000,15.155025,4.560140,1.029350,5.455449,26.681579,216.040109,5.795970
0.010000,15.205593,4.532814,1.086829,5.747923,29.247404,256.582566,5.779290
0.010000,15.258475,4.503002,1.147535,6.070594,32.267155,301.975028,5.760183
0.010000,15.313823,4.470289,1.211828,6.429323,35.872850,360.569535,5.738289
0.010000,15.371795,4.434162,1.280136,6.830730,40.140741,426.789087,5.713180
0.010000,15.432543,4.393992,1.352964,7.282868,45.213818,507.307750,5.684348
0.010000,15.496200,4.349004,1.430914,7.794926,51.205751,599.193286,5.651196
0.010000,15.562842,4.298252,1.514680,8.376676,58.175068,696.931724,5.613024
0.010000,15.632439,4.240586,1.605064,9.038314,66.163781,798.871217,5.569033
0.010000,15.704769,4.174643,1.702942,9.787828,74.951393,878.761286,5.518345
0.010000,15.779293,4.098868,1.809223,10.628119,84.029034,907.764096,5.460048
0.010000,15.854986,4.011613,1.924734,11.551100,92.298118,826.908381,5.393316
0.010000,15.930147,3.911361,2.050033,12.529848,97.874797,557.667894,5.317587
0.010000,16.002259,3.797119,2.185130,13.509778,97.993004,11.820735,5.232849
0.010000,16.068034,3.668962,2.329180,14.405013,89.523486,-846.951875,5.139947
0.010000,16.123802,3.528561,2.480252,15.107182,70.216922,-1930.656341,5.040813
0.010000,16.166259,3.379351,2.635385,15.513280,40.609812,-2960.711058,4.938412
0.010000,16.193337,3.226081,2.791029,15.564368,5.108852,-3550.095955,4.836300
0.010000,16.204708,3.073783,2.943751,15.272188,-29.218039,-3432.689127,4.737917
0.010000,16.201657,2.926684,3.090881,14.713012,-55.917583,-2669.954367,4.645935
0.010000,16.186466,2.787570,3.230822,13.994118,-71.889414,-1597.183174,4.561952
