dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,13.759742,4.095708,0.000100,0.020000,2.000000,200.000000,5.805757
0.010000,13.759742,4.095708,0.000500,0.060000,4.000000,200.000000,5.805900
0.010000,13.759742,4.095708,0.001400,0.120000,6.000000,200.000000,5.806220
0.010000,13.759917,4.095617,0.003000,0.200000,8.000000,200.000000,5.806788
0.010000,13.762050,4.094518,0.005400,0.280000,8.000000,0.000000,5.807634
0.010000,13.764896,4.093054,0.008600,0.360000,8.000000,-0.000000,5.808754
0.010000,13.768455,4.091229,0.012600,0.440000,8.000000,0.000000,5.810138
0.010000,13.772730,4.089046,0.017400,0.520000,8.000000,0.000000,5.811778
0.010000,13.777722,4.086508,0.023000,0.600000,8.000000,-0.000000,5.813663
0.010000,13.783432,4.083618,0.029400,0.680000,8.000000,0.000000,5.815778
0.010000,13.789864,4.080381,0.036600,0.760000,8.000000,-0.000000,5.818109
0.010000,13.797019,4.076802,0.044600,0.840000,8.000000,0.000000,5.820641
0.010000,13.804899,4.072886,0.053400,0.920000,8.000000,-0.000000,5.823356
0.010000,13.813508,4.068638,0.063000,1.000000,8.000000,0.000000,5.826236
0.010000,13.822848,4.064064,0.073400,1.080000,8.000000,0.000000,5.829260
0.010000,13.832922,4.059169,0.084600,1.160000,8.000000,0.000000,5.832408
0.010000,13.843732,4.053958,0.096600,1.240000,8.000000,-0.000000,5.835660
0.010000,13.855280,4.048439,0.109400,1.320000,8.000000,0.000000,5.838992
0.010000,13.867570,4.042616,0.123000,1.400000,8.000000,0.000000,5.842383
0.010000,13.880605,4.036494,0.137400,1.480000,8.000000,-0.000000,5.845809
0.010000,13.894385,4.030080,0.152600,1.560000,8.000000,0.000000,5.849246
0.010000,13.908914,4.023378,0.168600,1.640000,8.000000,0.000000,5.852671
0.010000,13.924193,4.016393,0.185400,1.720000,8.000000,-0.000000,5.856058
0.010000,13.940224,4.009129,0.203000,1.800000,8.000000,0.000000,5.859385
0.010000,13.957008,4.001589,0.221400,1.880000,8.000000,0.000000,5.862625
0.010000,13.974548,3.993778,0.240600,1.960000,8.000000,0.000000,5.865755
0.010000,13.992842,3.985698,0.260600,2.040000,8.000000,0.000000,5.868748
0.010000,14.011894,3.977350,0.281400,2.120000,8.000000,0.000000,5.871579
