dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,13.300245,3.207528,0.000100,0.020000,2.000000,200.000000,5.805757
0.010000,13.300372,3.207463,0.000243,0.014262,-0.573791,-257.379117,5.805900
0.010000,13.300657,3.207316,0.000563,0.032034,1.777231,235.102262,5.806220
0.010000,13.301336,3.206965,0.001328,0.076479,4.444478,266.724616,5.806788
0.010000,13.304222,3.205477,0.004574,0.324657,24.817813,2037.333522,5.807634
0.010000,13.308063,3.203502,0.008894,0.431952,10.729519,-1408.829373,5.808754
0.010000,13.312855,3.201045,0.014278,0.538436,10.648365,-8.115437,5.810138
0.010000,13.318590,3.198116,0.020718,0.644022,10.558547,-8.981817,5.811778
0.010000,13.325261,3.194723,0.028203,0.748415,10.439350,-11.919614,5.813663
0.010000,13.332859,3.190879,0.036718,0.851501,10.308603,-13.074768,5.815778
0.010000,13.341373,3.186594,0.046249,0.953187,10.168594,-14.000875,5.818109
0.010000,13.350792,3.181882,0.056781,1.053173,9.998547,-17.004733,5.820641
0.010000,13.361104,3.176758,0.068296,1.151502,9.832990,-16.555617,5.823356
0.010000,13.372295,3.171236,0.080775,1.247921,9.641866,-19.112496,5.826236
0.010000,13.384351,3.165331,0.094200,1.342449,9.452789,-18.907626,5.829260
0.010000,13.397257,3.159060,0.108548,1.434852,9.240315,-21.247398,5.832408
0.010000,13.410996,3.152438,0.123800,1.525161,9.030893,-20.942180,5.835660
0.010000,13.425551,3.145481,0.139932,1.613225,8.806382,-22.451146,5.838992
0.010000,13.440905,3.138206,0.156923,1.699074,8.584902,-22.148008,5.842383
0.010000,13.457040,3.130628,0.174749,1.782571,8.349748,-23.515431,5.845809
0.010000,13.473937,3.122763,0.193386,1.863707,8.113607,-23.614109,5.849246
0.010000,13.491575,3.114627,0.212811,1.942484,7.877689,-23.591738,5.852671
0.010000,13.509935,3.106233,0.232998,2.018769,7.628507,-24.918264,5.856058
0.010000,13.528996,3.097596,0.253925,2.092657,7.388774,-23.973231,5.859385
0.010000,13.548737,3.088729,0.275566,2.164059,7.140157,-24.861684,5.862625
0.010000,13.569135,3.079645,0.297895,2.232929,6.887070,-25.308781,5.865755
0.010000,13.590167,3.070355,0.320888,2.299306,6.637625,-24.944472,5.868748
0.010000,13.611812,3.060870,0.344519,2.363105,6.379902,-25.772285,5.871579
0.010000,13.634043,3.051201,0.368762,2.424304,6.119962,-25.993951,5.874222
0.010000,13.656836,3.041356,0.393590,2.482846,5.854131,-26.583179,5.876650
0.010000,13.680165,3.031343,0.418977,2.538678,5.583218,-27.091250,5.878837
0.010000,13.704002,3.021171,0.444894,2.591703,5.302500,-28.071821,5.880754
0.010000,13.728319,3.010844,0.471313,2.641839,5.013643,-28.885666,5.882373
0.010000,13.753084,3.000369,0.498202,2.688970,4.713048,-30.059573,5.883662
0.010000,13.778266,2.989751,0.525532,2.732920,4.395012,-31.803571,5.884591
0.010000,13.803831,2.978994,0.553267,2.773533,4.061310,-33.370228,5.885127
0.010000,13.829740,2.968102,0.581373,2.810577,3.704411,-35.689819,5.885232
0.010000,13.855954,2.957078,0.609811,2.843791,3.321442,-38.296900,5.884870
0.010000,13.882429,2.945925,0.638539,2.872862,2.907046,-41.439647,5.883999
0.010000,13.909118,2.934646,0.667513,2.897405,2.454283,-45.276326,5.882573
0.010000,13.935967,2.923244,0.696683,2.916987,1.958264,-49.601856,5.880543
0.010000,13.962919,2.911724,0.725994,2.931048,1.406019,-55.224475,5.877853
0.010000,13.989908,2.900090,0.755383,2.938978,0.793025,-61.299412,5.874443
0.010000,14.016863,2.888350,0.784783,2.940009,0.103104,-68.992085,5.870243
0.010000,14.043700,2.876513,0.814116,2.933235,-0.677341,-78.044541,5.865176
0.010000,14.070330,2.864592,0.843292,2.917598,-1.563711,-88.636968,5.859152
0.010000,14.096645,2.852603,0.872210,2.891808,-2.579037,-101.532673,5.852070
0.010000,14.122529,2.840571,0.900753,2.854321,-3.748723,-116.968533,5.843813
0.010000,14.147844,2.828529,0.928786,2.803306,-5.101437,-135.271473,5.834246
0.010000,14.172433,2.816520,0.956151,2.736526,-6.678031,-157.659396,5.823211
0.010000,14.196118,2.804604,0.982665,2.651334,-8.519236,-184.120473,5.810525
0.010000,14.218690,2.792861,1.008109,2.544445,-10.688827,-216.959119,5.795970
0.010000,14.239912,2.781397,1.032229,2.412019,-13.242641,-255.381413,5.779290
0.010000,14.259508,2.770355,1.054722,2.249253,-16.276622,-303.398097,5.760183
0.010000,14.277164,2.759927,1.075227,2.050538,-19.871501,-359.487871,5.738289
0.010000,14.292521,2.750366,1.093318,1.809038,-24.149975,-427.847354,5.713180
0.010000,14.305179,2.742008,1.108486,1.516809,-29.222903,-507.292852,5.684348
0.010000,14.314698,2.735297,1.120133,1.164719,-35.209033,-598.613023,5.651196
0.010000,14.320617,2.730810,1.127560,0.742750,-42.196872,-698.783878,5.613024
0.010000,14.322485,2.729288,1.129970,0.240956,-50.179414,-798.254179,5.569033
0.010000,14.319925,2.731658,1.133458,0.348853,10.789686,6096.909999,5.518345
0.010000,14.312728,2.739019,1.143753,1.029497,68.064438,5727.475231,5.460048
0.010000,14.301006,2.752587,1.161683,1.792945,76.344831,828.039317,5.393316
0.010000,14.285368,2.773511,1.187805,2.612226,81.928055,558.322367,5.317587
0.010000,14.267078,2.802560,1.222133,3.432820,82.059428,13.137264,5.232849
0.010000,14.248072,2.839663,1.263821,4.168730,73.590972,-846.845570,5.139947
0.010000,14.230698,2.883457,1.310935,4.711479,54.274940,-1931.603205,5.040813
0.010000,14.217129,2.931144,1.360515,4.957934,24.645476,-2962.946437,4.938412
0.010000,14.208672,2.978892,1.409006,4.849093,-10.884073,-3552.954888,4.836300
0.010000,14.205359,3.022733,1.452972,4.396632,-45.246163,-3436.208964,4.737917
0.010000,14.206071,3.059495,1.489741,3.676909,-71.972303,-2672.614031,4.645935
0.010000,14.209054,3.087311,1.517716,2.797500,-87.940862,-1596.855926,4.561952
0.010000,14.212489,3.105596,1.536321,1.860532,-93.696798,-575.593527,4.486542
0.010000,14.214861,3.114703,1.545732,0.941052,-91.948019,174.877887,4.419530
