dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.931667,2.391132,0.000800,0.080000,4.000000,200.000000,3.591280
0.020000,23.930367,2.390506,0.002243,0.072143,-0.392855,-219.642762,3.589837
0.020000,23.922588,2.386780,0.010867,0.431221,17.953891,917.337324,3.586943
0.020000,23.909972,2.380792,0.024833,0.698272,13.352562,-230.066452,3.582578
0.020000,23.893068,2.372874,0.043499,0.933322,11.752517,-80.002265,3.576711
0.020000,23.871803,2.363085,0.066910,1.170535,11.860644,5.406362,3.569301
0.020000,23.846089,2.351502,0.095112,1.410096,11.978022,5.868905,3.560299
0.020000,23.815818,2.338224,0.128167,1.652746,12.132516,7.724712,3.549644
0.020000,23.780867,2.323369,0.166143,1.898840,12.304694,8.608873,3.537267
0.020000,23.741094,2.307086,0.209121,2.148851,12.500547,9.792630,3.523089
0.020000,23.696345,2.289550,0.257183,2.403121,12.713490,10.647173,3.507025
0.020000,23.646450,2.270972,0.310424,2.662061,12.947041,11.677538,3.488984
0.020000,23.591235,2.251604,0.368938,2.925680,13.180937,11.694821,3.468869
0.020000,23.530520,2.231742,0.432819,3.194049,13.418423,11.874267,3.446587
0.020000,23.464135,2.211733,0.502154,3.466783,13.636706,10.914174,3.422050
0.020000,23.391922,2.191976,0.577021,3.743321,13.826902,9.509824,3.395181
0.020000,23.313755,2.172931,0.657475,4.022694,13.968643,7.087010,3.365924
0.020000,23.229558,2.155114,0.743536,4.303090,14.019801,2.557909,3.334258
0.020000,23.139317,2.139097,0.835187,4.582549,13.972954,-2.342329,3.300203
0.020000,23.043115,2.125497,0.932346,4.857941,13.769600,-10.167691,3.263839
0.020000,22.941139,2.114957,1.034865,5.125961,13.401011,-18.429487,3.225313
0.020000,22.833710,2.108127,1.142511,5.382294,12.816653,-29.217888,3.184860
0.020000,22.721285,2.105630,1.254964,5.622648,12.017683,-39.948514,3.142799
0.020000,22.604459,2.108022,1.371814,5.842481,10.991682,-51.300011,3.099540
0.020000,22.483953,2.115758,1.492569,6.037742,9.763056,-61.431333,3.055575
0.020000,22.360573,2.129157,1.616674,6.205242,8.374977,-69.403925,3.011460
0.020000,22.235178,2.148378,1.743533,6.342974,6.886599,-74.418917,2.967791
0.020000,22.108623,2.173410,1.872541,6.450383,5.370451,-75.807381,2.925173
0.020000,21.981708,2.204079,2.003108,6.528380,3.899870,-73.529086,2.884196
0.020000,21.855142,2.240065,2.134690,6.579093,2.535632,-68.211875,2.845406
0.020000,21.729512,2.280931,2.266800,6.605491,1.319885,-60.787360,2.809289
0.020000,21.605269,2.326155,2.399018,6.610915,0.271209,-52.433773,2.776265
0.020000,21.482731,2.375156,2.530991,6.598621,-0.614687,-44.294804,2.746688
0.020000,21.362098,2.427319,2.662418,6.571369,-1.362588,-37.395087,2.720856
0.020000,21.243475,2.482007,2.793041,6.531133,-2.011810,-32.461093,2.699031
0.020000,21.126892,2.538568,2.922620,6.478939,-2.609698,-29.894382,2.681451
0.020000,21.012338,2.596335,3.050915,6.414757,-3.209114,-29.970829,2.668355
0.020000,20.899784,2.654618,3.177663,6.337435,-3.866076,-32.848054,2.660006
0.020000,20.789216,2.712698,3.302558,6.244726,-4.635490,-38.470713,2.656711
0.020000,20.680657,2.769808,3.425223,6.133249,-5.573848,-46.917932,2.658846
0.020000,20.574202,2.825129,3.545194,5.998553,-6.734781,-58.046650,2.666875
0.020000,20.470050,2.877783,3.661898,5.835226,-8.166338,-71.577845,2.681369
0.020000,20.368535,2.926832,3.774642,5.637193,-9.901671,-86.766626,2.703023
0.020000,20.270153,2.971308,3.882610,5.398400,-11.939650,-101.898949,2.732651
0.020000,20.175575,3.010257,3.984895,5.114217,-14.209168,-113.475886,2.771161
0.020000,20.085613,3.042834,4.080574,4.783952,-16.513209,-115.202061,2.819472
0.020000,20.001103,3.068422,4.168872,4.414911,-18.452057,-96.942399,2.878361
0.020000,19.922666,3.086770,4.249427,4.027751,-19.358030,-45.298673,2.948190
0.020000,19.850315,3.098051,4.322652,3.661259,-18.324556,51.673699,3.028545
0.020000,19.723619,3.109602,4.449873,6.361055,134.989779,7665.716751,3.054472
0.020000,19.571134,3.122457,4.602899,7.651304,64.512465,-3523.865695,3.060645
0.020000,19.418584,3.134306,4.755909,7.650458,-0.042296,-3227.738046,3.067636
0.020000,19.266742,3.144973,4.908125,7.610803,-1.982748,-97.022612,3.075420
0.020000,19.115615,3.154348,5.059542,7.570891,-1.995611,-0.643129,3.084001
0.020000,18.965211,3.162322,5.210157,7.530739,-2.007635,-0.601234,3.093386
0.020000,18.815544,3.168789,5.359965,7.490375,-2.018164,-0.526416,3.103578
0.020000,18.666626,3.173644,5.508962,7.449846,-2.026460,-0.414792,3.114580
0.020000,18.518475,3.176782,5.657146,7.409212,-2.031710,-0.262532,3.126395
0.020000,18.371110,3.178102,5.804517,7.368551,-2.033030,-0.066000,3.139023
0.020000,18.224552,3.177504,5.951076,7.327962,-2.029458,0.178601,3.152463
0.020000,18.078824,3.174893,6.096827,7.287561,-2.020033,0.471264,3.166710
0.020000,17.933951,3.170173,6.241777,7.247488,-2.003667,0.818275,3.181759
0.020000,17.789959,3.163254,6.385935,7.207902,-1.979321,1.217311,3.197600
0.020000,17.646875,3.154049,6.529315,7.168983,-1.945956,1.668286,3.214218
0.020000,17.504727,3.142474,6.671933,7.130931,-1.902588,2.168359,3.231598
0.020000,17.363542,3.128452,6.813813,7.093965,-1.848310,2.713935,3.249717
0.020000,17.223349,3.111907,6.954979,7.058318,-1.782312,3.299907,3.268548
0.020000,17.084174,3.092769,7.095464,7.024238,-1.704034,3.913893,3.288061
0.020000,16.946043,3.070975,7.235303,6.991976,-1.613086,4.547376,3.308219
0.020000,16.808981,3.046466,7.374539,6.961787,-1.509452,5.181702,3.328981
0.020000,16.673012,3.019187,7.513218,6.933924,-1.393168,5.814194,3.350300
0.020000,16.538157,2.989091,7.651390,6.908628,-1.264797,6.418580,3.372125
0.020000,16.395976,2.955810,7.797414,7.301212,19.629226,1044.701112,3.370335
0.020000,16.237488,2.919135,7.960091,8.133816,41.630197,1100.048565,3.367658
0.020000,16.078907,2.882884,8.122762,8.133576,-0.012021,-2082.110898,3.364987
0.020000,15.920235,2.847059,8.285429,8.133329,-0.012347,-0.016278,3.362320
0.020000,15.761472,2.811657,8.448090,8.133078,-0.012535,-0.009404,3.359658
0.020000,15.602621,2.776679,8.610747,8.132824,-0.012721,-0.009311,3.357002
0.020000,15.443683,2.742123,8.773398,8.132565,-0.012905,-0.009217,3.354350
0.020000,15.284659,2.707990,8.936044,8.132304,-0.013058,-0.007655,3.351704
