dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.496983,3.291715,0.000800,0.080000,4.000000,200.000000,3.591280
0.020000,23.496983,3.291715,0.004000,0.240000,8.000000,200.000000,3.589837
0.020000,23.491814,3.289240,0.010400,0.400000,8.000000,0.000000,3.586943
0.020000,23.483141,3.285124,0.020000,0.560000,8.000000,0.000000,3.582578
0.020000,23.471551,3.279694,0.032800,0.720000,8.000000,-0.000000,3.576711
0.020000,23.457016,3.273003,0.048800,0.880000,8.000000,0.000000,3.569301
0.020000,23.439510,3.265118,0.068000,1.040000,8.000000,0.000000,3.560299
0.020000,23.418997,3.256120,0.090400,1.200000,8.000000,-0.000000,3.549644
0.020000,23.395437,3.246106,0.116000,1.360000,8.000000,0.000000,3.537267
0.020000,23.368785,3.235194,0.144800,1.520000,8.000000,-0.000000,3.523089
0.020000,23.338992,3.223519,0.176800,1.680000,8.000000,0.000000,3.507025
0.020000,23.306005,3.211236,0.212000,1.840000,8.000000,0.000000,3.488984
0.020000,23.269770,3.198526,0.250400,2.000000,8.000000,-0.000000,3.468869
0.020000,23.230232,3.185591,0.292000,2.160000,8.000000,0.000000,3.446587
0.020000,23.187340,3.172662,0.336800,2.320000,8.000000,-0.000000,3.422050
0.020000,23.141043,3.159995,0.384800,2.480000,8.000000,0.000000,3.395181
0.020000,23.091300,3.147874,0.436000,2.640000,8.000000,0.000000,3.365924
0.020000,23.038082,3.136612,0.490400,2.800000,8.000000,-0.000000,3.334258
0.020000,22.981371,3.126545,0.548000,2.960000,8.000000,0.000000,3.300203
0.020000,22.921173,3.118034,0.608800,3.120000,8.000000,0.000000,3.263839
0.020000,22.857516,3.111454,0.672800,3.280000,8.000000,-0.000000,3.225313
0.020000,22.790456,3.107192,0.740000,3.440000,8.000000,0.000000,3.184860
0.020000,22.720079,3.105629,0.810400,3.600000,8.000000,0.000000,3.142799
0.020000,22.646500,3.107138,0.884000,3.760000,8.000000,-0.000000,3.099540
0.020000,22.569864,3.112061,0.960800,3.920000,8.000000,0.000000,3.055575
0.020000,22.490339,3.120702,1.040800,4.080000,8.000000,0.000000,3.011460
0.020000,22.408107,3.133313,1.124000,4.240000,8.000000,0.000000,2.967791
0.020000,22.323357,3.150083,1.210400,4.400000,8.000000,0.000000,2.925173
0.020000,22.236272,3.171135,1.300000,4.560000,8.000000,-0.000000,2.884196
0.020000,22.147017,3.196521,1.392800,4.720000,8.000000,0.000000,2.845406
0.020000,22.055734,3.226224,1.488800,4.880000,8.000000,0.000000,2.809289
0.020000,21.962524,3.260161,1.588000,5.040000,8.000000,0.000000,2.776265
0.020000,21.867451,3.298189,1.690400,5.200000,8.000000,0.000000,2.746688
0.020000,21.770531,3.340108,1.796000,5.360000,8.000000,0.000000,2.720856
0.020000,21.671730,3.385665,1.904800,5.520000,8.000000,-0.000000,2.699031
0.020000,21.570967,3.434557,2.016800,5.680000,8.000000,0.000000,2.681451
0.020000,21.468109,3.486432,2.132000,5.840000,8.000000,0.000000,2.668355
0.020000,21.362971,3.540879,2.250400,6.000000,8.000000,0.000000,2.660006
0.020000,21.255319,3.597428,2.372000,6.160000,8.000000,0.000000,2.656711
0.020000,21.144870,3.655531,2.496800,6.320000,8.000000,0.000000,2.658846
0.020000,21.031289,3.714551,2.624800,6.480000,8.000000,0.000000,2.666875
0.020000,20.914198,3.773736,2.756000,6.640000,8.000000,-0.000000,2.681369
0.020000,20.793180,3.832192,2.890400,6.800000,8.000000,0.000000,2.703023
0.020000,20.667791,3.888850,3.028000,6.960000,8.000000,0.000000,2.732651
0.020000,20.537593,3.942428,3.168800,7.120000,8.000000,0.000000,2.771161
0.020000,20.402191,3.991400,3.312800,7.280000,8.000000,0.000000,2.819472
0.020000,20.261305,4.033976,3.460000,7.440000,8.000000,0.000000,2.878361
0.020000,20.114865,4.068125,3.610400,7.600000,8.000000,-0.000000,2.948190
0.020000,19.963122,4.091668,3.764000,7.760000,8.000000,0.000000,3.028545
0.020000,19.810630,4.105810,3.920800,7.920000,8.000000,0.000000,3.054472
0.020000,19.651993,4.119182,4.080000,8.000000,4.000000,-200.000000,3.060645
0.020000,19.492473,4.131573,4.240000,8.000000,0.000000,-200.000000,3.067636
0.020000,19.332867,4.142785,4.400000,8.000000,0.000000,0.000000,3.075420
0.020000,19.173174,4.152690,4.560000,8.000000,0.000000,0.000000,3.084001
0.020000,19.013399,4.161161,4.720000,8.000000,0.000000,0.000000,3.093386
0.020000,18.853549,4.168067,4.880000,8.000000,0.000000,0.000000,3.103578
0.020000,18.693635,4.173279,5.040000,8.000000,0.000000,0.000000,3.114580
0.020000,18.533672,4.176666,5.200000,8.000000,0.000000,0.000000,3.126395
0.020000,18.373679,4.178099,5.360000,8.000000,0.000000,0.000000,3.139023
0.020000,18.213682,4.177445,5.520000,8.000000,0.000000,0.000000,3.152463
0.020000,18.053709,4.174577,5.680000,8.000000,0.000000,0.000000,3.166710
0.020000,17.893795,4.169366,5.840000,8.000000,0.000000,0.000000,3.181759
0.020000,17.733981,4.161686,6.000000,8.000000,0.000000,0.000000,3.197600
0.020000,17.574313,4.151413,6.160000,8.000000,0.000000,0.000000,3.214218
0.020000,17.414843,4.138427,6.320000,8.000000,0.000000,0.000000,3.231598
0.020000,17.255629,4.122612,6.480000,8.000000,0.000000,0.000000,3.249717
0.020000,17.096734,4.103859,6.640000,8.000000,0.000000,0.000000,3.268548
0.020000,16.938228,4.082062,6.800000,8.000000,0.000000,0.000000,3.288061
0.020000,16.780186,4.057125,6.960000,8.000000,0.000000,0.000000,3.308219
0.020000,16.622688,4.028960,7.120000,8.000000,0.000000,0.000000,3.328981
0.020000,16.465817,3.997486,7.280000,8.000000,0.000000,0.000000,3.350300
0.020000,16.309662,3.962636,7.440000,8.000000,0.000000,0.000000,3.372125
0.020000,16.169224,3.929762,7.600000,8.000000,0.000000,0.000000,3.370335
0.020000,16.013343,3.893690,7.760000,8.000000,0.000000,0.000000,3.367658
0.020000,15.857366,3.858036,7.920000,8.000000,0.000000,0.000000,3.364987
0.020000,15.701295,3.822797,8.080000,8.000000,0.000000,0.000000,3.362320
0.020000,15.545131,3.787975,8.240000,8.000000,0.000000,0.000000,3.359658
0.020000,15.388874,3.753568,8.400000,8.000000,0.000000,0.000000,3.357002
0.020000,15.232527,3.719576,8.560000,8.000000,0.000000,0.000000,3.354350
0.020000,15.076090,3.685998,8.720000,8.000000,0.000000,0.000000,3.351704
0.020000,14.919564,3.652833,8.880000,8.000000,0.000000,0.000000,3.349063
0.020000,14.762952,3.620082,9.040000,8.000000,0.000000,0.000000,3.346428
0.020000,14.606255,3.587743,9.200000,8.000000,0.000000,0.000000,3.343798
0.020000,14.449473,3.555816,9.360000,8.000000,0.000000,0.000000,3.341173
0.020000,14.292607,3.524300,9.520000,8.000000,0.000000,0.000000,3.338554
0.020000,14.135660,3.493195,9.680000,8.000000,0.000000,0.000000,3.335941
0.020000,13.978632,3.462499,9.840000,8.000000,0.000000,0.000000,3.333334
0.020000,13.821525,3.432213,10.000000,8.000000,0.000000,0.000000,3.330732
0.020000,13.664339,3.402335,10.160000,8.000000,0.000000,0.000000,3.328136
0.020000,13.507077,3.372864,10.320000,8.000000,0.000000,0.000000,3.325546
0.020000,13.349739,3.343801,10.480000,8.000000,0.000000,0.000000,3.322962
0.020000,13.192326,3.315144,10.640000,8.000000,0.000000,0.000000,3.320384
0.020000,13.034840,3.286892,10.800000,8.000000,0.000000,0.000000,3.317812
0.020000,12.877282,3.259045,10.960000,8.000000,0.000000,0.000000,3.315246
0.020000,12.719653,3.231601,11.120000,8.000000,0.000000,0.000000,3.312687
0.020000,12.561955,3.204561,11.280000,8.000000,0.000000,0.000000,3.310133
0.020000,12.404188,3.177923,11.440000,8.000000,0.000000,0.000000,3.307587
0.020000,12.246354,3.151686,11.600000,8.000000,0.000000,0.000000,3.305046
0.020000,12.088453,3.125850,11.760000,8.000000,0.000000,0.000000,3.302512
0.020000,11.930488,3.100414,11.920000,8.000000,0.000000,0.000000,3.299985
0.020000,11.772459,3.075376,12.080000,8.000000,0.000000,0.000000,3.297464
0.020000,11.614368,3.050736,12.240000,8.000000,0.000000,0.000000,3.294950
0.020000,11.456215,3.026494,12.400000,8.000000,0.000000,0.000000,3.292442
0.020000,11.298002,3.002647,12.560000,8.000000,0.000000,0.000000,3.289942
0.020000,11.139731,2.979196,12.720000,8.000000,0.000000,0.000000,3.287448
0.020000,10.981401,2.956138,12.880000,8.000000,0.000000,0.000000,3.284961
0.020000,10.823014,2.933474,13.040000,8.000000,0.000000,0.000000,3.282481
0.020000,10.664572,2.911203,13.200000,8.000000,0.000000,0.000000,3.280008
0.020000,10.506075,2.889323,13.360000,8.000000,0.000000,0.000000,3.277542
0.020000,10.347525,2.867833,13.520000,8.000000,0.000000,0.000000,3.275083
0.020000,10.188922,2.846732,13.680000,8.000000,0.000000,0.000000,3.272631
0.020000,10.030268,2.826020,13.840000,8.000000,0.000000,0.000000,3.270186
0.020000,9.871565,2.805695,14.000000,8.000000,0.000000,0.000000,3.267748
0.020000,9.712812,2.785757,14.160000,8.000000,0.000000,0.000000,3.265318
0.020000,9.554011,2.766204,14.320000,8.000000,0.000000,0.000000,3.262895
0.020000,9.395164,2.747035,14.480000,8.000000,0.000000,0.000000,3.260480
0.020000,9.236270,2.728249,14.640000,8.000000,0.000000,0.000000,3.258072
0.020000,9.077332,2.709846,14.800000,8.000000,0.000000,0.000000,3.255671
0.020000,8.918351,2.691823,14.960000,8.000000,0.000000,0.000000,3.253278
0.020000,8.759326,2.674180,15.120000,8.000000,0.000000,0.000000,3.250892
0.020000,8.600260,2.656916,15.280000,8.000000,0.000000,0.000000,3.248514
0.020000,8.441154,2.640030,15.440000,8.000000,0.000000,0.000000,3.246143
0.020000,8.282008,2.623521,15.600000,8.000000,0.000000,0.000000,3.243780
0.020000,8.122824,2.607387,15.760000,8.000000,0.000000,0.000000,3.241425
0.020000,7.963602,2.591627,15.920000,8.000000,0.000000,0.000000,3.239078
0.020000,7.804343,2.576241,16.080000,8.000000,0.000000,0.000000,3.236738
0.020000,7.645049,2.561226,16.240000,8.000000,0.000000,0.000000,3.234406
0.020000,7.485721,2.546583,16.400000,8.000000,0.000000,0.000000,3.232082
0.020000,7.326359,2.532309,16.560000,8.000000,0.000000,0.000000,3.229766
0.020000,7.166964,2.518403,16.720000,8.000000,0.000000,0.000000,3.227457
0.020000,7.007538,2.504865,16.880000,8.000000,0.000000,0.000000,3.225157
0.020000,6.848081,2.491694,17.040000,8.000000,0.000000,0.000000,3.222864
0.020000,6.688595,2.478887,17.200000,8.000000,0.000000,0.000000,3.220580
0.020000,6.529079,2.466444,17.360000,8.000000,0.000000,0.000000,3.218303
0.020000,6.369536,2.454363,17.520000,8.000000,0.000000,0.000000,3.216035
0.020000,6.209966,2.442644,17.680000,8.000000,0.000000,0.000000,3.213775
0.020000,6.050370,2.431284,17.840000,8.000000,0.000000,0.000000,3.211523
0.020000,5.890748,2.420284,18.000000,8.000000,0.000000,0.000000,3.209279
0.020000,5.731103,2.409641,18.160000,8.000000,0.000000,0.000000,3.207043
0.020000,5.571434,2.399354,18.320000,8.000000,0.000000,0.000000,3.204815
0.020000,5.411742,2.389423,18.480000,8.000000,0.000000,0.000000,3.202596
0.020000,5.252029,2.379845,18.640000,8.000000,0.000000,0.000000,3.200384
0.020000,5.092296,2.370620,18.800000,8.000000,0.000000,0.000000,3.198181
0.020000,4.932542,2.361746,18.960000,8.000000,0.000000,0.000000,3.195987
0.020000,4.773046,2.353236,19.119723,7.972275,-1.386240,-69.311987,3.193804
0.020000,4.614885,2.345142,19.278091,7.864550,-5.386240,-200.000000,3.191648
0.020000,4.459381,2.337516,19.433782,7.704550,-8.000000,-130.688013,3.189537
0.020000,4.307057,2.330365,19.586273,7.544550,-8.000000,-0.000000,3.187477
0.020000,4.157917,2.323667,19.735564,7.384550,-8.000000,0.000000,3.185467
0.020000,4.011960,2.317403,19.881655,7.224550,-8.000000,0.000000,3.183507
0.020000,3.869189,2.311552,20.024546,7.064550,-8.000000,0.000000,3.181598
0.020000,3.729605,2.306095,20.164237,6.904550,-8.000000,0.000000,3.179737
0.020000,3.593208,2.301013,20.300728,6.744550,-8.000000,0.000000,3.177925
0.020000,3.460001,2.296289,20.434019,6.584550,-8.000000,-0.000000,3.176162
0.020000,3.329984,2.291905,20.564110,6.424550,-8.000000,0.000000,3.174447
0.020000,3.203158,2.287842,20.691001,6.264550,-8.000000,0.000000,3.172779
0.020000,3.079524,2.284086,20.814692,6.104550,-8.000000,0.000000,3.171159
0.020000,2.959083,2.280618,20.935183,5.944550,-8.000000,0.000000,3.169585
0.020000,2.841835,2.277425,21.052474,5.784550,-8.000000,0.000000,3.168058
0.020000,2.727782,2.274491,21.166565,5.624550,-8.000000,0.000000,3.166577
