dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.062299,4.192299,0.000800,0.080000,4.000000,200.000000,3.591280
0.020000,23.063599,4.192925,0.002243,0.072143,-0.392855,-219.642762,3.589837
0.020000,23.061040,4.191700,0.005080,0.141843,3.485014,193.893474,3.586943
0.020000,23.056311,4.189455,0.010314,0.261738,5.994730,125.485786,3.582578
0.020000,23.050033,4.186515,0.017247,0.346615,4.243867,-87.543145,3.576711
0.020000,23.042229,4.182922,0.025837,0.429534,4.145946,-4.896050,3.569301
0.020000,23.032932,4.178734,0.036035,0.509878,4.017215,-6.436559,3.560299
0.020000,23.022176,4.174016,0.047780,0.587250,3.868580,-7.431727,3.549644
0.020000,23.010007,4.168843,0.061003,0.661135,3.694245,-8.716756,3.537267
0.020000,22.996475,4.163303,0.075625,0.731110,3.498745,-9.774998,3.523089
0.020000,22.981638,4.157488,0.091561,0.796783,3.283637,-10.755394,3.507025
0.020000,22.965559,4.151500,0.108719,0.857902,3.055953,-11.384216,3.488984
0.020000,22.948305,4.145447,0.127004,0.914256,2.817735,-11.910896,3.468869
0.020000,22.929945,4.139440,0.146322,0.965905,2.582445,-11.764505,3.446587
0.020000,22.910545,4.133591,0.166584,1.013102,2.359830,-11.130761,3.422050
0.020000,22.890165,4.128013,0.187714,1.056491,2.169457,-9.518617,3.395181
0.020000,22.868846,4.122817,0.209657,1.097158,2.033332,-6.806274,3.365924
0.020000,22.846606,4.118109,0.232390,1.136635,1.973882,-2.972489,3.334258
0.020000,22.823424,4.113993,0.255934,1.177203,2.028412,2.726478,3.300203
0.020000,22.799231,4.110571,0.280367,1.221680,2.223825,9.770657,3.263839
0.020000,22.773893,4.107952,0.305841,1.273669,2.599467,18.782114,3.225313
0.020000,22.747203,4.106256,0.332585,1.337223,3.177681,28.910691,3.184860
0.020000,22.718873,4.105629,0.360922,1.416831,3.980427,40.137318,3.142799
0.020000,22.688540,4.106254,0.391261,1.516944,5.005604,51.258852,3.099540
0.020000,22.655776,4.108364,0.424093,1.641625,6.234086,61.424064,3.055575
0.020000,22.620104,4.112247,0.459975,1.794101,7.623807,69.486067,3.011460
0.020000,22.581035,4.118247,0.499502,1.976363,9.113067,74.463020,2.967791
0.020000,22.538091,4.126756,0.543281,2.188957,10.629702,75.831709,2.925173
