dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.119690,5.437189,0.000100,0.020000,2.000000,200.000000,4.713883
0.010000,20.119690,5.437077,0.000212,0.011210,-0.879026,-287.902626,4.713771
0.010000,20.119690,5.436824,0.000464,0.025233,1.402349,228.137495,4.713518
0.010000,20.119691,5.436375,0.000913,0.044898,1.966455,56.410644,4.713069
0.010000,20.119691,5.435701,0.001588,0.067440,2.254190,28.773458,4.712395
0.010000,20.119689,5.431618,0.005671,0.408283,34.084338,3183.014832,4.711493
0.010000,20.119682,5.426487,0.010802,0.513147,10.486442,-2359.789612,4.710361
0.010000,20.119665,5.420322,0.016967,0.616448,10.330065,-15.637675,4.708996
0.010000,20.119635,5.413120,0.024169,0.720220,10.377178,4.711309,4.707394
0.010000,20.119586,5.404876,0.032413,0.824416,10.419564,4.238600,4.705550
0.010000,20.119513,5.395586,0.041703,0.928988,10.457280,3.771537,4.703460
0.010000,20.119408,5.385243,0.052047,1.034398,10.540937,8.365766,4.701116
0.010000,20.119265,5.373842,0.063449,1.140210,10.581220,4.028233,4.698513
0.010000,20.119074,5.361371,0.075921,1.247222,10.701234,12.001434,4.695642
0.010000,20.118826,5.347826,0.089469,1.354745,10.752313,5.107891,4.692494
0.010000,20.118510,5.333197,0.104101,1.463251,10.850536,9.822301,4.689061
0.010000,20.118113,5.317472,0.119831,1.573020,10.976911,12.637551,4.685331
0.010000,20.117624,5.300640,0.136670,1.683885,11.086528,10.961680,4.681293
0.010000,20.117026,5.282690,0.154630,1.795949,11.206377,11.984857,4.676933
0.010000,20.116305,5.263609,0.173724,1.909448,11.349955,14.357787,4.672238
0.010000,20.115441,5.243381,0.193971,2.024689,11.524056,17.410149,4.667191
0.010000,20.114416,5.221989,0.215388,2.141665,11.697629,17.357294,4.661775
0.010000,20.113207,5.199418,0.237991,2.260376,11.871085,17.345598,4.655972
0.010000,20.111791,5.175648,0.261803,2.381192,12.081559,21.047381,4.649759
0.010000,20.110140,5.150659,0.286846,2.504278,12.308674,22.711512,4.643115
0.010000,20.108227,5.124428,0.313147,2.630103,12.582498,27.382400,4.636015
0.010000,20.106018,5.096932,0.340732,2.758500,12.839629,25.713132,4.628430
0.010000,20.103478,5.068143,0.369633,2.890071,13.157135,31.750600,4.620330
0.010000,20.100568,5.038038,0.399878,3.024517,13.444581,28.744526,4.611683
0.010000,20.097244,5.006582,0.431509,3.163106,13.858957,41.437668,4.602453
0.010000,20.093456,4.973746,0.464563,3.305381,14.227415,36.845800,4.592598
0.010000,20.089151,4.939493,0.499085,3.452226,14.684521,45.710590,4.582076
0.010000,20.084268,4.903789,0.535122,3.603651,15.142501,45.798013,4.570840
0.010000,20.078740,4.866593,0.572726,3.760458,15.680721,53.821956,4.558835
0.010000,20.072493,4.827865,0.611955,3.922891,16.243338,56.261742,4.546006
0.010000,20.065441,4.787562,0.652870,4.091527,16.863524,62.018588,4.532289
0.010000,20.057490,4.745634,0.695546,4.267519,17.599201,73.567724,4.517615
0.010000,20.048535,4.702039,0.740051,4.450509,18.299054,69.985237,4.501909
0.010000,20.038458,4.656729,0.786468,4.641685,19.117548,81.849391,4.485091
0.010000,20.027124,4.609654,0.834888,4.842004,20.031948,91.440083,4.467071
0.010000,20.014385,4.560772,0.885403,5.051491,20.948681,91.673225,4.447755
0.010000,20.000074,4.510040,0.938115,5.271225,21.973387,102.470639,4.427042
0.010000,19.984004,4.457420,0.993133,5.501836,23.061078,108.769072,4.404822
0.010000,19.965968,4.402890,1.050569,5.743638,24.180189,111.911159,4.380985
0.010000,19.945735,4.346436,1.110539,5.996955,25.331790,115.160035,4.355413
0.010000,19.923053,4.288065,1.173163,6.262346,26.539027,120.723720,4.327987
0.010000,19.897647,4.227812,1.238552,6.538960,27.661458,112.243118,4.298596
0.010000,19.869224,4.165750,1.306814,6.826172,28.721205,105.974704,4.267130
0.010000,19.837474,4.101988,1.378043,7.122957,29.678447,95.724150,4.233498
0.010000,19.802081,4.036701,1.452306,7.426310,30.335309,65.686198,4.197630
0.010000,19.762733,3.970121,1.529644,7.733793,30.748265,41.295609,4.159488
0.010000,19.719140,3.902562,1.610047,8.040223,30.643087,-10.517749,4.119080
0.010000,19.671047,3.834416,1.693454,8.340747,30.052379,-59.070843,4.076466
0.010000,19.618269,3.766162,1.779734,8.627972,28.722510,-132.986881,4.031779
0.010000,19.560704,3.698351,1.868683,8.894920,26.694814,-202.769586,3.985222
0.010000,19.498369,3.631602,1.960014,9.133052,23.813139,-288.167555,3.937083
0.010000,19.431405,3.566563,2.053364,9.334997,20.194486,-361.865221,3.887723
0.010000,19.360096,3.503888,2.148301,9.493721,15.872421,-432.206515,3.837576
0.010000,19.284858,3.444192,2.244344,9.604354,11.063299,-480.912272,3.787122
0.010000,19.206221,3.388011,2.340988,9.664379,6.002507,-506.079149,3.736868
0.010000,19.124798,3.335772,2.437729,9.674060,0.968055,-503.445202,3.687317
0.010000,19.041241,3.287770,2.534093,9.636387,-3.767254,-473.530925,3.638944
0.010000,18.956204,3.244161,2.629660,9.556697,-7.969045,-420.179092,3.592168
0.010000,18.870303,3.204969,2.724078,9.441881,-11.481572,-351.252715,3.547342
0.010000,18.784089,3.170102,2.817076,9.299799,-14.208155,-272.658311,3.504737
0.010000,18.698028,3.139377,2.908457,9.138103,-16.169595,-196.143961,3.464549
0.010000,18.612496,3.112546,2.998099,8.964165,-17.393815,-122.421961,3.426902
0.010000,18.527781,3.089316,3.085941,8.784200,-17.996526,-60.271134,3.391856
0.010000,18.444090,3.069377,3.171974,8.603304,-18.089580,-9.305396,3.359419
0.010000,18.361562,3.052413,3.256228,8.425371,-17.793290,29.628971,3.329562
0.010000,18.280279,3.038113,3.338759,8.253160,-17.221126,57.216434,3.302228
0.010000,18.200279,3.026183,3.419643,8.088410,-16.474975,74.615138,3.277342
0.010000,18.121571,3.016347,3.498964,7.932067,-15.634282,84.069232,3.254819
0.010000,18.044138,3.008347,3.576809,7.784469,-14.759815,87.446734,3.234574
0.010000,17.967954,3.001948,3.653262,7.645289,-13.917973,84.184229,3.216520
0.010000,17.892982,2.996931,3.728401,7.513963,-13.132684,78.528822,3.200579
0.010000,17.819186,2.993099,3.802297,7.389519,-12.444389,68.829552,3.186683
0.010000,17.746533,2.990265,3.875005,7.270852,-11.866656,57.773326,3.174774
0.010000,17.674995,2.988257,3.946571,7.156588,-11.426393,44.026307,3.164808
0.010000,17.604555,2.986916,4.017023,7.045249,-11.133938,29.245487,3.156756
0.010000,17.535208,2.986088,4.086375,6.935208,-11.004063,12.987437,3.150604
0.010000,17.466963,2.985629,4.154622,6.824685,-11.052281,-4.821742,3.146357
0.010000,17.399846,2.985397,4.221740,6.711717,-11.296813,-24.453182,3.144040
0.010000,17.333905,2.985258,4.287681,6.594172,-11.754541,-45.772891,3.143698
0.010000,17.269208,2.985078,4.352378,6.469656,-12.451568,-69.702689,3.145401
0.010000,17.205854,2.984727,4.415733,6.335492,-13.416382,-96.481319,3.149246
0.010000,17.143971,2.984077,4.477619,6.188644,-14.684874,-126.849271,3.155360
0.010000,17.083724,2.983004,4.537875,6.025632,-16.301208,-161.633374,3.163903
0.010000,17.025322,2.981390,4.596300,5.842457,-18.317422,-201.621381,3.175079
0.010000,16.969023,2.979124,4.652645,5.634509,-20.794798,-247.737618,3.189133
0.010000,16.915142,2.976114,4.706610,5.396464,-23.804492,-300.969387,3.206368
0.010000,16.864062,2.972289,4.757832,5.122268,-27.419669,-361.517729,3.227144
0.010000,16.817038,2.967703,4.805080,4.724729,-39.753925,-1233.425589,3.251136
0.010000,16.759207,2.961310,4.863263,5.818306,109.357791,14911.171600,3.252063
0.010000,16.686183,2.953176,4.936739,7.347616,152.930973,4357.318201,3.252987
0.010000,16.612367,2.944884,5.011019,7.427992,8.037578,-14489.339544,3.253907
0.010000,16.537760,2.936435,5.086103,7.508411,8.041936,0.435801,3.254823
0.010000,16.462361,2.927826,5.161992,7.588876,8.046434,0.449842,3.255734
0.010000,16.386170,2.919056,5.238686,7.669385,8.050933,0.449923,3.256640
