dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.119692,5.434201,0.000100,0.020000,2.000000,200.000000,4.713883
0.010000,18.119692,5.434314,0.000212,0.011210,-0.879026,-287.902626,4.713771
0.010000,18.119691,5.434566,0.000464,0.025233,1.402349,228.137495,4.713518
0.010000,18.119691,5.435015,0.000913,0.044898,1.966455,56.410644,4.713069
0.010000,18.119691,5.435689,0.001588,0.067440,2.254190,28.773458,4.712395
0.010000,18.119690,5.433411,0.003867,0.227873,16.043287,1378.909731,4.711493
0.010000,18.119686,5.430542,0.006735,0.286821,5.894875,-1014.841250,4.710361
0.010000,18.119676,5.427108,0.010170,0.343483,5.666141,-22.873382,4.708996
0.010000,18.119660,5.423109,0.014168,0.399807,5.632469,-3.367186,4.707394
0.010000,18.119633,5.418553,0.018724,0.455659,5.585166,-4.730302,4.705550
0.010000,18.119592,5.413444,0.023833,0.510898,5.523929,-6.123713,4.703460
0.010000,18.119535,5.407788,0.029490,0.565658,5.476002,-4.792701,4.701116
0.010000,18.119457,5.401593,0.035686,0.619576,5.391727,-8.427481,4.698513
0.010000,18.119354,5.394864,0.042415,0.672951,5.337491,-5.423599,4.695642
0.010000,18.119222,5.387612,0.049668,0.725268,5.231735,-10.575557,4.692494
0.010000,18.119054,5.379848,0.057434,0.776633,5.136547,-9.518853,4.689061
0.010000,18.118845,5.371580,0.065704,0.827034,5.040090,-9.645688,4.685331
0.010000,18.118591,5.362822,0.074467,0.876208,4.917418,-12.267190,4.681293
0.010000,18.118283,5.353587,0.083707,0.924026,4.781758,-13.565949,4.676933
0.010000,18.117917,5.343889,0.093411,0.970411,4.638528,-14.323056,4.672238
0.010000,18.117484,5.333746,0.103564,1.015302,4.489119,-14.940863,4.667191
0.010000,18.116977,5.323173,0.114149,1.058461,4.315839,-17.328076,4.661775
0.010000,18.116389,5.312193,0.125145,1.099635,4.117383,-19.845569,4.655972
0.010000,18.115712,5.300825,0.136532,1.138733,3.909792,-20.759132,4.649759
