dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.000000,9.000000,0.000100,0.020000,2.000000,200.000000,0.000000
0.010000,6.000000,9.000000,0.000100,0.000000,-2.000000,-400.000000,0.000000
0.010000,6.000000,9.000000,0.000100,0.000000,0.000000,200.000000,0.000000
0.010000,6.000000,9.000000,0.000100,0.000000,0.000000,0.000000,0.000000
0.010000,6.001900,9.000000,0.002000,0.190000,19.000000,1900.000000,0.000000
0.010000,6.005100,9.000000,0.005200,0.320000,13.000000,-600.000000,0.000000
0.010000,6.009100,9.000000,0.009200,0.400000,8.000000,-500.000000,0.000000
0.010000,6.013900,9.000000,0.014000,0.480000,8.000000,-0.000000,0.000000
0.010000,6.019500,9.000000,0.019600,0.560000,8.000000,0.000000,0.000000
0.010000,6.025900,9.000000,0.026000,0.640000,8.000000,-0.000000,0.000000
0.010000,6.033100,9.000000,0.033200,0.720000,8.000000,0.000000,0.000000
0.010000,6.041100,9.000000,0.041200,0.800000,8.000000,0.000000,0.000000
0.010000,6.049900,9.000000,0.050000,0.880000,8.000000,0.000000,0.000000
0.010000,6.059500,9.000000,0.059600,0.960000,8.000000,0.000000,0.000000
0.010000,6.069900,9.000000,0.070000,1.040000,8.000000,0.000000,0.000000
0.010000,6.081100,9.000000,0.081200,1.120000,8.000000,0.000000,0.000000
0.010000,6.093100,9.000000,0.093200,1.200000,8.000000,-0.000000,0.000000
0.010000,6.105900,9.000000,0.106000,1.280000,8.000000,0.000000,0.000000
0.010000,6.119500,9.000000,0.119600,1.360000,8.000000,-0.000000,0.000000
0.010000,6.133900,9.000000,0.134000,1.440000,8.000000,-0.000000,0.000000
0.010000,6.149100,9.000000,0.149200,1.520000,8.000000,0.000000,0.000000
0.010000,6.165100,9.000000,0.165200,1.600000,8.000000,-0.000000,0.000000
0.010000,6.181900,9.000000,0.182000,1.680000,8.000000,0.000000,0.000000
0.010000,6.199500,9.000000,0.199600,1.760000,8.000000,0.000000,0.000000
0.010000,6.217900,9.000000,0.218000,1.840000,8.000000,0.000000,0.000000
0.010000,6.237100,9.000000,0.237200,1.920000,8.000000,-0.000000,0.000000
0.010000,6.257100,9.000000,0.257200,2.000000,8.000000,0.000000,0.000000
0.010000,6.277900,9.000000,0.278000,2.080000,8.000000,0.000000,0.000000
0.010000,6.299500,9.000000,0.299600,2.160000,8.000000,-0.000000,0.000000
0.010000,6.321900,9.000000,0.322000,2.240000,8.000000,-0.000000,0.000000
0.010000,6.345100,9.000000,0.345200,2.320000,8.000000,0.000000,0.000000
0.010000,6.369100,9.000000,0.369200,2.400000,8.000000,-0.000000,0.000000
0.010000,6.393900,9.000000,0.394000,2.480000,8.000000,0.000000,0.000000
0.010000,6.419500,9.000000,0.419600,2.560000,8.000000,0.000000,0.000000
0.010000,6.445900,9.000000,0.446000,2.640000,8.000000,0.000000,0.000000
0.010000,6.473100,9.000000,0.473200,2.720000,8.000000,-0.000000,0.000000
0.010000,6.501100,9.000000,0.501200,2.800000,8.000000,0.000000,0.000000
0.010000,6.529900,9.000000,0.530000,2.880000,8.000000,0.000000,0.000000
0.010000,6.559500,9.000000,0.559600,2.960000,8.000000,-0.000000,0.000000
0.010000,6.589900,9.000000,0.590000,3.040000,8.000000,0.000000,0.000000
0.010000,6.621100,9.000000,0.621200,3.120000,8.000000,-0.000000,0.000000
0.010000,6.653100,9.000000,0.653200,3.200000,8.000000,0.000000,0.000000
0.010000,6.685900,9.000000,0.686000,3.280000,8.000000,-0.000000,0.000000
0.010000,6.719500,9.000000,0.719600,3.360000,8.000000,0.000000,0.000000
0.010000,6.753900,9.000000,0.754000,3.440000,8.000000,0.000000,0.000000
0.010000,6.789100,9.000000,0.789200,3.520000,8.000000,-0.000000,0.000000
0.010000,6.825100,9.000000,0.825200,3.600000,8.000000,0.000000,0.000000
0.010000,6.861900,9.000000,0.862000,3.680000,8.000000,0.000000,0.000000
0.010000,6.899500,9.000000,0.899600,3.760000,8.000000,-0.000000,0.000000
0.010000,6.937900,9.000000,0.938000,3.840000,8.000000,-0.000000,0.000000
0.010000,6.977100,9.000000,0.977200,3.920000,8.000000,0.000000,0.000000
0.010000,7.017100,9.000000,1.017200,4.000000,8.000000,-0.000000,0.000000
0.010000,7.057900,9.000000,1.058000,4.080000,8.000000,0.000000,0.000000
0.010000,7.099500,9.000000,1.099600,4.160000,8.000000,-0.000000,0.000000
0.010000,7.141900,9.000000,1.142000,4.240000,8.000000,0.000000,0.000000
0.010000,7.185100,9.000000,1.185200,4.320000,8.000000,-0.000000,0.000000
0.010000,7.229100,9.000000,1.229200,4.400000,8.000000,0.000000,0.000000
0.010000,7.273900,9.000000,1.274000,4.480000,8.000000,0.000000,0.000000
0.010000,7.319500,9.000000,1.319600,4.560000,8.000000,-0.000000,0.000000
0.010000,7.365900,9.000000,1.366000,4.640000,8.000000,-0.000000,0.000000
0.010000,7.413100,9.000000,1.413200,4.720000,8.000000,0.000000,0.000000
0.010000,7.461100,9.000000,1.461200,4.800000,8.000000,-0.000000,0.000000
0.010000,7.509900,9.000000,1.510000,4.880000,8.000000,0.000000,0.000000
0.010000,7.559500,9.000000,1.559600,4.960000,8.000000,0.000000,0.000000
0.010000,7.609900,9.000000,1.610000,5.040000,8.000000,0.000000,0.000000
0.010000,7.661100,9.000000,1.661200,5.120000,8.000000,0.000000,0.000000
0.010000,7.713100,9.000000,1.713200,5.200000,8.000000,0.000000,0.000000
0.010000,7.765900,9.000000,1.766000,5.280000,8.000000,-0.000000,0.000000
0.010000,7.819500,9.000000,1.819600,5.360000,8.000000,0.000000,0.000000
0.010000,7.873900,9.000000,1.874000,5.440000,8.000000,-0.000000,0.000000
0.010000,7.929100,9.000000,1.929200,5.520000,8.000000,0.000000,0.000000
0.010000,7.985100,9.000000,1.985200,5.600000,8.000000,0.000000,0.000000
0.010000,8.041900,9.000000,2.042000,5.680000,8.000000,-0.000000,0.000000
0.010000,8.099500,9.000000,2.099600,5.760000,8.000000,0.000000,0.000000
0.010000,8.157900,9.000000,2.158000,5.840000,8.000000,-0.000000,0.000000
0.010000,8.217100,9.000000,2.217200,5.920000,8.000000,0.000000,0.000000
0.010000,8.277100,9.000000,2.277200,6.000000,8.000000,-0.000000,0.000000
0.010000,8.337900,9.000000,2.338000,6.080000,8.000000,-0.000000,0.000000
0.010000,8.399500,9.000000,2.399600,6.160000,8.000000,0.000000,0.000000
0.010000,8.461900,9.000000,2.462000,6.240000,8.000000,-0.000000,0.000000
0.010000,8.525100,9.000000,2.525200,6.320000,8.000000,0.000000,0.000000
