dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000000,9.000000,0.000800,0.080000,4.000000,200.000000,0.000000
0.020000,6.000500,9.000000,0.001300,0.025000,-2.750000,-337.500000,0.000000
0.020000,6.006900,9.000000,0.007700,0.320000,14.750000,875.000000,0.000000
0.020000,6.016500,9.000000,0.017300,0.480000,8.000000,-337.500000,0.000000
0.020000,6.029300,9.000000,0.030100,0.640000,8.000000,0.000000,0.000000
0.020000,6.045300,9.000000,0.046100,0.800000,8.000000,-0.000000,0.000000
0.020000,6.064500,9.000000,0.065300,0.960000,8.000000,0.000000,0.000000
0.020000,6.086900,9.000000,0.087700,1.120000,8.000000,0.000000,0.000000
0.020000,6.112500,9.000000,0.113300,1.280000,8.000000,-0.000000,0.000000
0.020000,6.141300,9.000000,0.142100,1.440000,8.000000,0.000000,0.000000
0.020000,6.173300,9.000000,0.174100,1.600000,8.000000,-0.000000,0.000000
0.020000,6.208500,9.000000,0.209300,1.760000,8.000000,0.000000,0.000000
0.020000,6.246900,9.000000,0.247700,1.920000,8.000000,0.000000,0.000000
0.020000,6.288500,9.000000,0.289300,2.080000,8.000000,-0.000000,0.000000
0.020000,6.333300,9.000000,0.334100,2.240000,8.000000,0.000000,0.000000
0.020000,6.381300,9.000000,0.382100,2.400000,8.000000,0.000000,0.000000
0.020000,6.432500,9.000000,0.433300,2.560000,8.000000,0.000000,0.000000
0.020000,6.486900,9.000000,0.487700,2.720000,8.000000,-0.000000,0.000000
0.020000,6.544500,9.000000,0.545300,2.880000,8.000000,0.000000,0.000000
0.020000,6.605300,9.000000,0.606100,3.040000,8.000000,0.000000,0.000000
0.020000,6.669300,9.000000,0.670100,3.200000,8.000000,-0.000000,0.000000
0.020000,6.736500,9.000000,0.737300,3.360000,8.000000,0.000000,0.000000
0.020000,6.806900,9.000000,0.807700,3.520000,8.000000,0.000000,0.000000
0.020000,6.880500,9.000000,0.881300,3.680000,8.000000,-0.000000,0.000000
0.020000,6.957300,9.000000,0.958100,3.840000,8.000000,0.000000,0.000000
0.020000,7.037300,9.000000,1.038100,4.000000,8.000000,-0.000000,0.000000
0.020000,7.120500,9.000000,1.121300,4.160000,8.000000,0.000000,0.000000
0.020000,7.206900,9.000000,1.207700,4.320000,8.000000,-0.000000,0.000000
0.020000,7.296500,9.000000,1.297300,4.480000,8.000000,0.000000,0.000000
0.020000,7.389300,9.000000,1.390100,4.640000,8.000000,0.000000,0.000000
0.020000,7.485300,9.000000,1.486100,4.800000,8.000000,-0.000000,0.000000
0.020000,7.584500,9.000000,1.585300,4.960000,8.000000,0.000000,0.000000
0.020000,7.686900,9.000000,1.687700,5.120000,8.000000,-0.000000,0.000000
0.020000,7.792500,9.000000,1.793300,5.280000,8.000000,0.000000,0.000000
0.020000,7.901300,9.000000,1.902100,5.440000,8.000000,0.000000,0.000000
0.020000,8.013300,9.000000,2.014100,5.600000,8.000000,-0.000000,0.000000
0.020000,8.128500,9.000000,2.129300,5.760000,8.000000,0.000000,0.000000
0.020000,8.246900,9.000000,2.247700,5.920000,8.000000,0.000000,0.000000
0.020000,8.368500,9.000000,2.369300,6.080000,8.000000,0.000000,0.000000
0.020000,8.493300,9.000000,2.494100,6.240000,8.000000,-0.000000,0.000000
0.020000,8.621300,9.000000,2.622100,6.400000,8.000000,0.000000,0.000000
0.020000,8.752500,9.000000,2.753300,6.560000,8.000000,-0.000000,0.000000
0.020000,8.886900,9.000000,2.887700,6.720000,8.000000,0.000000,0.000000
0.020000,9.024500,9.000000,3.025300,6.880000,8.000000,0.000000,0.000000
0.020000,9.165300,9.000000,3.166100,7.040000,8.000000,-0.000000,0.000000
0.020000,9.309300,9.000000,3.310100,7.200000,8.000000,-0.000000,0.000000
0.020000,9.456500,9.000000,3.457300,7.360000,8.000000,0.000000,0.000000
0.020000,9.595738,9.000141,3.596538,6.961891,-19.905426,-1395.271285,0.002928
0.020000,9.753855,9.000967,3.754657,7.905955,47.203151,3355.428837,0.007448
0.020000,9.914845,9.002509,3.915655,8.049885,7.196502,-2000.332447,0.011645
0.020000,10.077869,9.004726,4.078693,8.151931,5.102317,-104.709249,0.015484
0.020000,10.241278,9.007543,4.242127,8.171690,0.987951,-205.718309,0.018918
0.020000,10.404258,9.010878,4.405141,8.150683,-1.050354,-101.915227,0.021932
0.020000,10.566812,9.014660,4.567739,8.129920,-1.038120,0.611661,0.024530
0.020000,10.728946,9.018821,4.729926,8.109355,-1.028273,0.492392,0.026717
0.020000,10.890663,9.023292,4.891705,8.088952,-1.020140,0.406603,0.028496
0.020000,11.051968,9.028006,5.053079,8.068687,-1.013252,0.344409,0.029870
0.020000,11.212864,9.032897,5.214050,8.048534,-1.007671,0.279078,0.030841
0.020000,11.373355,9.037900,5.374619,8.028454,-1.003979,0.184578,0.031410
0.020000,11.533444,9.042948,5.534787,8.008417,-1.001842,0.106881,0.031578
0.020000,11.693133,9.047979,5.694555,7.988394,-1.001143,0.034929,0.031346
0.020000,11.852423,9.052929,5.853922,7.968354,-1.002031,-0.044417,0.030713
0.020000,12.011316,9.057734,6.012887,7.948262,-1.004579,-0.127364,0.029678
0.020000,12.169811,9.062330,6.171449,7.928088,-1.008690,-0.205590,0.028240
0.020000,12.327908,9.066656,6.329605,7.907809,-1.013974,-0.264184,0.026396
0.020000,12.485605,9.070647,6.487353,7.887385,-1.021205,-0.361535,0.024144
0.020000,12.642899,9.074241,6.644689,7.866782,-1.030157,-0.447623,0.021479
0.020000,12.799788,9.077375,6.801608,7.845972,-1.040504,-0.517336,0.018399
0.020000,12.956265,9.079986,6.958107,7.824943,-1.051426,-0.546084,0.014898
0.020000,13.112324,9.082011,7.114180,7.803637,-1.065311,-0.694284,0.010970
0.020000,13.267959,9.083385,7.269820,7.782028,-1.080452,-0.757053,0.006611
0.020000,13.423160,9.084044,7.425022,7.760111,-1.095848,-0.769793,0.001813
0.020000,13.577916,9.083925,7.579779,7.737838,-1.113661,-0.890649,6.279756
0.020000,13.732217,9.082963,7.734082,7.715164,-1.133682,-1.001033,6.274059
0.020000,13.886048,9.081091,7.887925,7.692120,-1.152217,-0.926752,6.267902
0.020000,14.039393,9.078245,8.041297,7.668611,-1.175445,-1.161415,6.261274
0.020000,14.192237,9.074359,8.194190,7.644660,-1.197538,-1.104639,6.254168
0.020000,14.344560,9.069365,8.346595,7.620235,-1.221259,-1.186040,6.246573
0.020000,14.496341,9.063197,8.498501,7.595303,-1.246568,-1.265459,6.238479
0.020000,14.647557,9.055787,8.649898,7.569873,-1.271523,-1.247770,6.229877
0.020000,14.798183,9.047068,8.800777,7.543913,-1.297999,-1.323792,6.220756
0.020000,14.948192,9.036971,8.951125,7.517410,-1.325138,-1.356959,6.211105
0.020000,15.097555,9.025428,9.100933,7.490407,-1.350141,-1.250119,6.200913
0.020000,15.246239,9.012371,9.250190,7.462831,-1.378813,-1.433628,6.190171
0.020000,15.394212,8.997731,9.398885,7.434753,-1.403919,-1.255291,6.178867
0.020000,15.541437,8.981440,9.547008,7.406184,-1.428437,-1.225873,6.166991
0.020000,15.687876,8.963431,9.694551,7.377109,-1.453777,-1.267030,6.154534
0.020000,15.833488,8.943635,9.841502,7.347592,-1.475836,-1.102964,6.141487
0.020000,15.978232,8.921986,9.987856,7.317679,-1.495642,-0.990301,6.127842
0.020000,16.122062,8.898419,10.133605,7.287444,-1.511723,-0.804021,6.113592
0.020000,16.264934,8.872868,10.278743,7.256917,-1.526378,-0.732739,6.098732
0.020000,16.406799,8.845270,10.423267,7.226202,-1.535763,-0.469248,6.083257
0.020000,16.547607,8.815565,10.567175,7.195397,-1.540223,-0.223010,6.067167
0.020000,16.687310,8.783691,10.710468,7.164616,-1.539041,0.059077,6.050461
0.020000,16.825855,8.749592,10.853147,7.133988,-1.531440,0.380079,6.033142
0.020000,16.963191,8.713212,10.995220,7.103655,-1.516638,0.740065,6.015218
0.020000,17.099267,8.674499,11.136696,7.073777,-1.493878,1.138010,5.996695
0.020000,17.234031,8.633403,11.277586,7.044528,-1.462446,1.571607,5.977588
0.020000,17.367432,8.589878,11.417908,7.016094,-1.421704,2.037106,5.957912
0.020000,17.499420,8.543881,11.557682,6.988672,-1.371120,2.529202,5.937688
0.020000,17.629947,8.495372,11.696931,6.962466,-1.310300,3.040988,5.916940
0.020000,17.758965,8.444315,11.835685,6.937685,-1.239020,3.563999,5.895696
0.020000,17.886431,8.390679,11.973976,6.914540,-1.157253,4.088359,5.873990
0.020000,18.012301,8.334435,12.111840,6.893237,-1.065192,4.603051,5.851858
0.020000,18.136536,8.275560,12.249320,6.873971,-0.963266,5.096302,5.829340
0.020000,18.259099,8.214034,12.386458,6.856928,-0.852144,5.556076,5.806482
0.020000,18.379954,8.149842,12.523304,6.842274,-0.732731,5.970668,5.783331
0.020000,18.499071,8.082973,12.659907,6.830151,-0.606144,6.329335,5.759937
0.020000,18.616422,8.013421,12.796320,6.820677,-0.473685,6.622950,5.736354
0.020000,18.731980,7.941184,12.932599,6.813941,-0.336793,6.844596,5.712635
0.020000,18.845723,7.866266,13.068798,6.809935,-0.200337,6.822835,5.688838
0.020000,18.957629,7.788674,13.204973,6.808745,-0.059454,7.044146,5.665016
0.020000,19.067683,7.708420,13.341180,6.810370,0.081240,7.034670,5.641226
0.020000,19.175867,7.625524,13.477472,6.814582,0.210592,6.467627,5.617522
0.020000,19.282169,7.540007,13.613903,6.821533,0.347542,6.847504,5.593956
0.020000,19.386578,7.451897,13.750522,6.830949,0.470787,6.162226,5.570577
0.020000,19.489084,7.361226,13.887374,6.842622,0.583670,5.644149,5.547433
0.020000,19.589681,7.268032,14.024505,6.856558,0.696807,5.656875,5.524568
0.020000,19.688365,7.172356,14.161955,6.872476,0.795876,4.953444,5.502020
0.020000,19.785133,7.074244,14.299759,6.890196,0.886003,4.506367,5.479826
0.020000,19.879981,6.973748,14.437946,6.909377,0.959076,3.653622,5.458018
0.020000,19.972914,6.870919,14.576547,6.930040,1.033127,3.702574,5.436622
0.020000,20.063934,6.765815,14.715585,6.951886,1.092298,2.958529,5.415661
0.020000,20.153046,6.658497,14.855077,6.974608,1.136093,2.189735,5.395156
0.020000,20.240256,6.549028,14.995038,6.998080,1.173641,1.877418,5.375121
