dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.192328,3.219725,0.000100,0.020000,2.000000,200.000000,6.282042
0.010000,2.192297,3.219725,0.000131,0.003128,-1.687183,-368.718311,6.282073
0.010000,2.192227,3.219725,0.000202,0.007037,0.390926,207.810935,6.282144
0.010000,2.192102,3.219725,0.000327,0.012508,0.547031,15.610517,6.282269
0.010000,2.191914,3.219725,0.000514,0.018754,0.624609,7.757733,6.282456
0.010000,2.191664,3.219726,0.000764,0.024991,0.623674,-0.093442,6.282706
0.010000,2.191352,3.219726,0.001076,0.031215,0.622428,-0.124621,6.283018
0.010000,2.193637,3.219726,0.003361,0.228468,19.725267,1910.283848,0.000207
0.010000,2.198801,3.219728,0.008525,0.516386,28.791828,906.656170,0.000643
0.010000,2.204703,3.219733,0.014427,0.590220,7.383466,-2140.836191,0.001141
0.010000,2.211343,3.219743,0.021068,0.664074,7.385328,0.186158,0.001700
0.010000,2.218723,3.219758,0.028447,0.737963,7.388931,0.360298,0.002321
0.010000,2.226842,3.219779,0.036566,0.811876,7.391295,0.236378,0.003002
0.010000,2.235700,3.219809,0.045424,0.885829,7.395349,0.405477,0.003744
0.010000,2.245298,3.219849,0.055023,0.959820,7.399071,0.372132,0.004546
0.010000,2.255636,3.219900,0.065361,1.033847,7.402634,0.356353,0.005407
0.010000,2.266716,3.219965,0.076440,1.107922,7.407534,0.489946,0.006328
0.010000,2.278536,3.220046,0.088261,1.182044,7.412222,0.468860,0.007307
0.010000,2.291097,3.220144,0.100823,1.256216,7.417239,0.501618,0.008345
0.010000,2.304401,3.220263,0.114127,1.330442,7.422590,0.535153,0.009441
0.010000,2.318448,3.220403,0.128175,1.404725,7.428285,0.569487,0.010594
0.010000,2.333238,3.220569,0.142965,1.479069,7.434331,0.604641,0.011803
0.010000,2.348771,3.220762,0.158500,1.553476,7.440738,0.640631,0.013068
0.010000,2.365049,3.220986,0.174780,1.627951,7.447512,0.677469,0.014389
0.010000,2.382072,3.221242,0.191805,1.702497,7.454598,0.708585,0.015764
0.010000,2.399841,3.221535,0.209576,1.777108,7.461092,0.649363,0.017193
0.010000,2.418356,3.221867,0.228094,1.851806,7.469822,0.873025,0.018674
