dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.191185,2.219726,0.000100,0.020000,2.000000,200.000000,6.282042
0.010000,2.191185,2.219726,0.000500,0.060000,4.000000,200.000000,6.282073
0.010000,2.191185,2.219726,0.001400,0.120000,6.000000,200.000000,6.282144
0.010000,2.191185,2.219726,0.003000,0.200000,8.000000,200.000000,6.282269
0.010000,2.191185,2.219726,0.005400,0.280000,8.000000,0.000000,6.282456
0.010000,2.191185,2.219726,0.008600,0.360000,8.000000,-0.000000,6.282706
0.010000,2.191185,2.219726,0.012600,0.440000,8.000000,0.000000,6.283018
0.010000,2.193844,2.219726,0.017400,0.520000,8.000000,0.000000,0.000207
0.010000,2.199444,2.219728,0.023000,0.600000,8.000000,-0.000000,0.000643
0.010000,2.205844,2.219734,0.029400,0.680000,8.000000,0.000000,0.001141
0.010000,2.213044,2.219744,0.036600,0.760000,8.000000,-0.000000,0.001700
0.010000,2.221044,2.219760,0.044600,0.840000,8.000000,0.000000,0.002321
0.010000,2.229844,2.219784,0.053400,0.920000,8.000000,-0.000000,0.003002
0.010000,2.239444,2.219816,0.063000,1.000000,8.000000,0.000000,0.003744
0.010000,2.249844,2.219859,0.073400,1.080000,8.000000,0.000000,0.004546
0.010000,2.261044,2.219915,0.084600,1.160000,8.000000,0.000000,0.005407
0.010000,2.273043,2.219985,0.096600,1.240000,8.000000,-0.000000,0.006328
0.010000,2.285843,2.220073,0.109400,1.320000,8.000000,0.000000,0.007307
0.010000,2.299443,2.220179,0.123000,1.400000,8.000000,0.000000,0.008345
0.010000,2.313842,2.220307,0.137400,1.480000,8.000000,-0.000000,0.009441
0.010000,2.329041,2.220459,0.152600,1.560000,8.000000,0.000000,0.010594
0.010000,2.345040,2.220639,0.168600,1.640000,8.000000,0.000000,0.011803
0.010000,2.361839,2.220848,0.185400,1.720000,8.000000,-0.000000,0.013068
0.010000,2.379437,2.221089,0.203000,1.800000,8.000000,0.000000,0.014389
0.010000,2.397835,2.221367,0.221400,1.880000,8.000000,0.000000,0.015764
