dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.190096,1.219726,0.000800,0.080000,4.000000,200.000000,6.282097
0.020000,2.190347,1.219726,0.001050,0.012507,-3.374639,-368.731934,6.282347
0.020000,2.190846,1.219726,0.001550,0.024990,0.624116,199.937711,6.282847
0.020000,2.196854,1.219727,0.007557,0.300367,13.768874,657.237908,0.000410
0.020000,2.210649,1.219739,0.021353,0.689779,19.470612,285.086899,0.001405
0.020000,2.227890,1.219774,0.038594,0.862036,8.612820,-542.889560,0.002646
0.020000,2.248573,1.219844,0.059277,1.034167,8.606566,-0.312745,0.004129
0.020000,2.272696,1.219965,0.083400,1.206148,8.599054,-0.375565,0.005852
0.020000,2.300254,1.220153,0.110959,1.377951,8.590143,-0.445550,0.007811
0.020000,2.331244,1.220429,0.141950,1.549552,8.580040,-0.505162,0.010002
0.020000,2.365660,1.220815,0.176368,1.720926,8.568713,-0.566358,0.012421
0.020000,2.403498,1.221335,0.214209,1.892041,8.555731,-0.649073,0.015062
0.020000,2.444750,1.222016,0.255467,2.062883,8.542107,-0.681214,0.017920
0.020000,2.489409,1.222885,0.300135,2.233409,8.526300,-0.790348,0.020988
0.020000,2.537469,1.223972,0.348207,2.403607,8.509915,-0.819240,0.024260
0.020000,2.588921,1.225310,0.399676,2.573443,8.491810,-0.905276,0.027729
0.020000,2.643755,1.226931,0.454534,2.742889,8.472272,-0.976896,0.031387
0.020000,2.701961,1.228871,0.512772,2.911927,8.451909,-1.018157,0.035225
0.020000,2.763528,1.231165,0.574383,3.080521,8.429722,-1.109356,0.039236
0.020000,2.828446,1.233849,0.639356,3.248646,8.406237,-1.174218,0.043409
0.020000,2.896701,1.236962,0.707681,3.416280,8.381714,-1.226176,0.047734
0.020000,2.968279,1.240542,0.779349,3.583398,8.355866,-1.292376,0.052202
0.020000,3.043167,1.244628,0.854349,3.749966,8.328432,-1.371706,0.056802
0.020000,3.121349,1.249259,0.932668,3.915963,8.299814,-1.430894,0.061521
0.020000,3.202810,1.254475,1.014295,4.081366,8.270146,-1.483399,0.066348
0.020000,3.287532,1.260315,1.099218,4.246145,8.238971,-1.558761,0.071272
0.020000,3.375497,1.266817,1.187424,4.410293,8.207394,-1.578849,0.076277
0.020000,3.466689,1.274020,1.278899,4.573766,8.173671,-1.686142,0.081353
0.020000,3.561086,1.281962,1.373630,4.736548,8.139082,-1.729480,0.086484
0.020000,3.658670,1.290678,1.471603,4.898618,8.103523,-1.777934,0.091656
0.020000,3.759420,1.300203,1.572802,5.059971,8.067609,-1.795707,0.096856
0.020000,3.863315,1.310572,1.677213,5.220562,8.029590,-1.900942,0.102067
0.020000,3.970334,1.321817,1.784821,5.380392,7.991506,-1.904224,0.107275
0.020000,4.080454,1.333966,1.895610,5.539432,7.951981,-1.976235,0.112464
0.020000,4.193655,1.347048,2.009563,5.697673,7.912059,-1.996107,0.117618
0.020000,4.309912,1.361088,2.126665,5.855085,7.870613,-2.072288,0.122720
0.020000,4.429203,1.376109,2.246898,6.011676,7.829517,-2.054810,0.127753
0.020000,4.551506,1.392129,2.370247,6.167405,7.786484,-2.151622,0.132701
0.020000,4.676799,1.409165,2.496692,6.322270,7.743202,-2.164105,0.137547
0.020000,4.805058,1.427231,2.626217,6.476263,7.699670,-2.176622,0.142272
0.020000,4.936262,1.446334,2.758805,6.629370,7.655344,-2.216264,0.146860
0.020000,5.070389,1.466482,2.894436,6.781565,7.609764,-2.279029,0.151291
0.020000,5.207416,1.487674,3.033093,6.932841,7.563773,-2.299567,0.155548
0.020000,5.347324,1.509909,3.174756,7.083185,7.517217,-2.327785,0.159612
0.020000,5.490092,1.533177,3.319408,7.232585,7.469981,-2.361769,0.163464
0.020000,5.635701,1.557468,3.467029,7.381029,7.422245,-2.386807,0.167084
0.020000,5.784130,1.582763,3.617599,7.528492,7.373138,-2.455376,0.170454
0.020000,5.935364,1.609040,3.771098,7.674956,7.323178,-2.498013,0.173553
0.020000,6.089383,1.636270,3.927506,7.820408,7.272601,-2.528808,0.176362
0.020000,6.246173,1.664419,4.086802,7.964831,7.221181,-2.571003,0.178858
0.020000,6.404921,1.693301,4.248156,8.067701,5.143462,-103.885980,0.181012
0.020000,6.564031,1.722572,4.409936,8.088992,1.064573,-203.944434,0.182792
0.020000,6.722716,1.752025,4.571331,8.069751,-0.962034,-101.330372,0.184187
0.020000,6.880988,1.781599,4.732343,8.050569,-0.959100,0.146702,0.185198
0.020000,7.038859,1.811232,4.892971,8.031423,-0.957308,0.089637,0.185827
0.020000,7.196342,1.840863,5.053217,8.012299,-0.956212,0.054771,0.186073
0.020000,7.353447,1.870433,5.213081,7.993186,-0.955670,0.027118,0.185937
0.020000,7.510186,1.899880,5.372562,7.974066,-0.955990,-0.015991,0.185418
0.020000,7.666570,1.929145,5.531661,7.954928,-0.956864,-0.043733,0.184516
0.020000,7.822609,1.958170,5.690376,7.935754,-0.958714,-0.092477,0.183231
0.020000,7.978312,1.986894,5.848706,7.916533,-0.961038,-0.116219,0.181562
0.020000,8.133689,2.015259,6.006652,7.897254,-0.963971,-0.146649,0.179507
0.020000,8.288749,2.043206,6.164209,7.877894,-0.968004,-0.201616,0.177065
0.020000,8.443499,2.070676,6.321378,7.858450,-0.972178,-0.208704,0.174234
0.020000,8.597946,2.097610,6.478157,7.838911,-0.976980,-0.240102,0.171012
0.020000,8.752097,2.123951,6.634542,7.819253,-0.982881,-0.295085,0.167398
0.020000,8.905957,2.149638,6.790531,7.799479,-0.988717,-0.291760,0.163387
