dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.922255,25.865510,0.000800,0.080000,4.000000,200.000000,0.000933
0.020000,1.922467,25.865510,0.001012,0.010617,-3.469134,-373.456702,0.000721
0.020000,1.922891,25.865510,0.001437,0.021214,0.529816,199.947520,0.000296
0.020000,1.928651,25.865510,0.007197,0.288014,13.340008,640.509567,6.282846
0.020000,1.942297,25.865499,0.020842,0.682259,19.712264,318.612805,6.282001
0.020000,1.959350,25.865470,0.037895,0.852665,8.520309,-559.597739,6.280948
0.020000,1.979809,25.865411,0.058355,1.022966,8.515045,-0.263195,6.279688
0.020000,2.003672,25.865310,0.082218,1.193141,8.508754,-0.314556,6.278226
0.020000,2.030935,25.865153,0.109481,1.363166,8.501214,-0.376990,6.276562
0.020000,2.061594,25.864921,0.140141,1.533021,8.492799,-0.420784,6.274702
0.020000,2.095646,25.864597,0.174195,1.702687,8.483255,-0.477167,6.272648
0.020000,2.133087,25.864160,0.211638,1.872136,8.472481,-0.538683,6.270405
0.020000,2.173910,25.863589,0.252465,2.041353,8.460849,-0.581612,6.267978
0.020000,2.218110,25.862859,0.296671,2.210311,8.447877,-0.648610,6.265372
0.020000,2.265681,25.861945,0.344251,2.378991,8.434037,-0.691978,6.262592
0.020000,2.316616,25.860821,0.395198,2.547372,8.419006,-0.751578,6.259645
0.020000,2.370907,25.859458,0.449507,2.715425,8.402664,-0.817116,6.256536
0.020000,2.428547,25.857828,0.507170,2.883139,8.385697,-0.848321,6.253273
0.020000,2.489526,25.855899,0.568179,3.050478,8.366977,-0.936011,6.249864
0.020000,2.553835,25.853641,0.632528,3.217435,8.347817,-0.957984,6.246315
0.020000,2.621464,25.851021,0.700207,3.383975,8.327029,-1.039419,6.242636
0.020000,2.692402,25.848008,0.771209,3.550086,8.305541,-1.074391,6.238834
0.020000,2.766637,25.844567,0.845524,3.715742,8.282777,-1.138227,6.234919
0.020000,2.844157,25.840666,0.923142,3.880923,8.259064,-1.185606,6.230900
0.020000,2.924950,25.836271,1.004054,4.045606,8.234169,-1.244761,6.226788
0.020000,3.009001,25.831348,1.088250,4.209777,8.208519,-1.282506,6.222593
0.020000,3.096297,25.825864,1.175718,4.373399,8.181127,-1.369609,6.218325
0.020000,3.186823,25.819787,1.266447,4.536476,8.153850,-1.363852,6.213995
0.020000,3.280563,25.813083,1.360427,4.698971,8.124746,-1.455187,6.209615
0.020000,3.377501,25.805722,1.457644,4.860871,8.094991,-1.487749,6.205198
0.020000,3.477622,25.797674,1.558088,5.022164,8.064654,-1.516853,6.200755
0.020000,3.580907,25.788908,1.661744,5.182812,8.032388,-1.613329,6.196298
0.020000,3.687339,25.779396,1.768600,5.342824,8.000630,-1.587885,6.191842
0.020000,3.796901,25.769114,1.878644,5.502168,7.967158,-1.673599,6.187398
0.020000,3.909574,25.758035,1.991860,5.660832,7.933213,-1.697221,6.182981
0.020000,4.025340,25.746139,2.108236,5.818797,7.898236,-1.748862,6.178605
0.020000,4.144181,25.733403,2.227757,5.976054,7.862864,-1.768630,6.174284
0.020000,4.266077,25.719812,2.350409,6.132578,7.826196,-1.833400,6.170033
0.020000,4.391010,25.705349,2.476176,6.288370,7.789615,-1.829052,6.165865
0.020000,4.518961,25.690002,2.605044,6.443399,7.751426,-1.909415,6.161797
0.020000,4.649911,25.673763,2.736998,6.597669,7.713508,-1.895910,6.157844
0.020000,4.783842,25.656624,2.872021,6.751150,7.674088,-1.970989,6.154021
0.020000,4.920736,25.638585,3.010097,6.903842,7.634553,-1.976768,6.150344
0.020000,5.060573,25.619646,3.151212,7.055722,7.594014,-2.026938,6.146829
0.020000,5.203338,25.599811,3.295348,7.206783,7.553038,-2.048813,6.143494
0.020000,5.349012,25.579092,3.442487,7.356992,7.510470,-2.128386,6.140354
