dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.923188,24.865511,0.000800,0.080000,4.000000,200.000000,0.000933
0.020000,1.923188,24.865511,0.004000,0.240000,8.000000,200.000000,0.000721
0.020000,1.923188,24.865511,0.010400,0.400000,8.000000,0.000000,0.000296
0.020000,1.928312,24.865510,0.020000,0.560000,8.000000,0.000000,6.282846
0.020000,1.941112,24.865500,0.032800,0.720000,8.000000,-0.000000,6.282001
0.020000,1.957112,24.865473,0.048800,0.880000,8.000000,0.000000,6.280948
0.020000,1.976312,24.865417,0.068000,1.040000,8.000000,0.000000,6.279688
0.020000,1.998712,24.865323,0.090400,1.200000,8.000000,-0.000000,6.278226
0.020000,2.024312,24.865174,0.116000,1.360000,8.000000,0.000000,6.276562
0.020000,2.053111,24.864957,0.144800,1.520000,8.000000,-0.000000,6.274702
0.020000,2.085109,24.864653,0.176800,1.680000,8.000000,0.000000,6.272648
0.020000,2.120307,24.864242,0.212000,1.840000,8.000000,0.000000,6.270405
0.020000,2.158703,24.863705,0.250400,2.000000,8.000000,-0.000000,6.267978
0.020000,2.200298,24.863018,0.292000,2.160000,8.000000,0.000000,6.265372
0.020000,2.245089,24.862158,0.336800,2.320000,8.000000,-0.000000,6.262592
0.020000,2.293078,24.861098,0.384800,2.480000,8.000000,0.000000,6.259645
0.020000,2.344261,24.859813,0.436000,2.640000,8.000000,0.000000,6.256536
0.020000,2.398640,24.858275,0.490400,2.800000,8.000000,-0.000000,6.253273
0.020000,2.456211,24.856454,0.548000,2.960000,8.000000,0.000000,6.249864
0.020000,2.516973,24.854320,0.608800,3.120000,8.000000,0.000000,6.246315
0.020000,2.580925,24.851843,0.672800,3.280000,8.000000,-0.000000,6.242636
0.020000,2.648065,24.848991,0.740000,3.440000,8.000000,0.000000,6.238834
0.020000,2.718389,24.845732,0.810400,3.600000,8.000000,0.000000,6.234919
0.020000,2.791896,24.842032,0.884000,3.760000,8.000000,-0.000000,6.230900
0.020000,2.868583,24.837861,0.960800,3.920000,8.000000,0.000000,6.226788
0.020000,2.948446,24.833183,1.040800,4.080000,8.000000,0.000000,6.222593
0.020000,3.031482,24.827967,1.124000,4.240000,8.000000,0.000000,6.218325
0.020000,3.117688,24.822179,1.210400,4.400000,8.000000,0.000000,6.213995
0.020000,3.207060,24.815788,1.300000,4.560000,8.000000,-0.000000,6.209615
0.020000,3.299593,24.808762,1.392800,4.720000,8.000000,0.000000,6.205198
0.020000,3.395284,24.801069,1.488800,4.880000,8.000000,0.000000,6.200755
0.020000,3.494129,24.792680,1.588000,5.040000,8.000000,0.000000,6.196298
0.020000,3.596122,24.783565,1.690400,5.200000,8.000000,0.000000,6.191842
0.020000,3.701260,24.773698,1.796000,5.360000,8.000000,0.000000,6.187398
0.020000,3.809538,24.763052,1.904800,5.520000,8.000000,-0.000000,6.182981
0.020000,3.920951,24.751602,2.016800,5.680000,8.000000,0.000000,6.178605
0.020000,4.035495,24.739327,2.132000,5.840000,8.000000,0.000000,6.174284
0.020000,4.153166,24.726207,2.250400,6.000000,8.000000,0.000000,6.170033
0.020000,4.273959,24.712223,2.372000,6.160000,8.000000,0.000000,6.165865
0.020000,4.397871,24.697361,2.496800,6.320000,8.000000,0.000000,6.161797
0.020000,4.524898,24.681608,2.624800,6.480000,8.000000,0.000000,6.157844
0.020000,4.655036,24.664955,2.756000,6.640000,8.000000,-0.000000,6.154021
0.020000,4.788284,24.647395,2.890400,6.800000,8.000000,0.000000,6.150344
0.020000,4.924639,24.628928,3.028000,6.960000,8.000000,0.000000,6.146829
0.020000,5.064100,24.609552,3.168800,7.120000,8.000000,0.000000,6.143494
0.020000,5.206665,24.589275,3.312800,7.280000,8.000000,0.000000,6.140354
0.020000,5.352335,24.568105,3.460000,7.440000,8.000000,0.000000,6.137426
0.020000,5.501110,24.546056,3.610400,7.600000,8.000000,-0.000000,6.134729
0.020000,5.652992,24.523147,3.764000,7.760000,8.000000,0.000000,6.132280
0.020000,5.807983,24.499401,3.920800,7.920000,8.000000,0.000000,6.130096
0.020000,5.965298,24.474971,4.080000,8.000000,4.000000,-200.000000,6.128206
0.020000,6.123360,24.450145,4.240000,8.000000,0.000000,-200.000000,6.126636
0.020000,6.281387,24.425097,4.400000,8.000000,0.000000,0.000000,6.125397
0.020000,6.439387,24.399880,4.560000,8.000000,0.000000,0.000000,6.124487
0.020000,6.597369,24.374544,4.720000,8.000000,0.000000,0.000000,6.123907
0.020000,6.755339,24.349143,4.880000,8.000000,0.000000,0.000000,6.123656
0.020000,6.913308,24.323728,5.040000,8.000000,0.000000,0.000000,6.123733
0.020000,7.071283,24.298352,5.200000,8.000000,0.000000,0.000000,6.124139
0.020000,7.229272,24.273065,5.360000,8.000000,0.000000,0.000000,6.124874
0.020000,7.387284,24.247921,5.520000,8.000000,0.000000,0.000000,6.125939
0.020000,7.545327,24.222971,5.680000,8.000000,0.000000,0.000000,6.127333
0.020000,7.703408,24.198267,5.840000,8.000000,0.000000,0.000000,6.129059
0.020000,7.861536,24.173863,6.000000,8.000000,0.000000,0.000000,6.131116
0.020000,8.019718,24.149810,6.160000,8.000000,0.000000,0.000000,6.133506
0.020000,8.177960,24.126162,6.320000,8.000000,0.000000,0.000000,6.136230
0.020000,8.336271,24.102971,6.480000,8.000000,0.000000,0.000000,6.139289
0.020000,8.494655,24.080292,6.640000,8.000000,0.000000,0.000000,6.142685
0.020000,8.653119,24.058177,6.800000,8.000000,0.000000,0.000000,6.146420
0.020000,8.811669,24.036681,6.960000,8.000000,0.000000,0.000000,6.150495
0.020000,8.970308,24.015859,7.120000,8.000000,0.000000,0.000000,6.154912
0.020000,9.129041,23.995764,7.280000,8.000000,0.000000,0.000000,6.159672
0.020000,9.287871,23.976453,7.440000,8.000000,0.000000,0.000000,6.164779
0.020000,9.446801,23.957981,7.600000,8.000000,0.000000,0.000000,6.170233
0.020000,9.605832,23.940404,7.760000,8.000000,0.000000,0.000000,6.176037
0.020000,9.764966,23.923778,7.920000,8.000000,0.000000,0.000000,6.182191
0.020000,9.924202,23.908160,8.080000,8.000000,0.000000,0.000000,6.188699
0.020000,10.083538,23.893606,8.240000,8.000000,0.000000,0.000000,6.195561
0.020000,10.242973,23.880175,8.400000,8.000000,0.000000,0.000000,6.202780
0.020000,10.402503,23.867924,8.560000,8.000000,0.000000,0.000000,6.210355
0.020000,10.562123,23.856909,8.720000,8.000000,0.000000,0.000000,6.218289
0.020000,10.721827,23.847191,8.880000,8.000000,0.000000,0.000000,6.226582
0.020000,10.881608,23.838825,9.040000,8.000000,0.000000,0.000000,6.235233
0.020000,11.041456,23.831871,9.200000,8.000000,0.000000,0.000000,6.244244
0.020000,11.201361,23.826387,9.360000,8.000000,0.000000,0.000000,6.253613
0.020000,11.361311,23.822429,9.520000,8.000000,0.000000,0.000000,6.263340
0.020000,11.521293,23.820056,9.680000,8.000000,0.000000,0.000000,6.273423
0.020000,11.681291,23.819324,9.840000,8.000000,0.000000,0.000000,0.000674
0.020000,11.841287,23.820290,10.000000,8.000000,0.000000,0.000000,0.011461
0.020000,12.001263,23.823010,10.160000,8.000000,0.000000,0.000000,0.022596
0.020000,12.161198,23.827538,10.320000,8.000000,0.000000,0.000000,0.034073
0.020000,12.321069,23.833929,10.480000,8.000000,0.000000,0.000000,0.045887
0.020000,12.480853,23.842234,10.640000,8.000000,0.000000,0.000000,0.058032
0.020000,12.640522,23.852505,10.800000,8.000000,0.000000,0.000000,0.070501
0.020000,12.800048,23.864792,10.960000,8.000000,0.000000,0.000000,0.083287
0.020000,12.959120,23.879115,11.119716,7.971623,-1.418836,-70.941819,0.096355
0.020000,13.116629,23.895389,11.278065,7.863247,-5.418836,-200.000000,0.109603
0.020000,13.271242,23.913441,11.433730,7.703247,-8.000000,-129.058181,0.122900
0.020000,13.422429,23.933132,11.586195,7.543247,-8.000000,0.000000,0.136174
0.020000,13.570174,23.954370,11.735460,7.383247,-8.000000,0.000000,0.149400
0.020000,13.714465,23.977057,11.881525,7.223247,-8.000000,0.000000,0.162550
0.020000,13.855292,24.001095,12.024390,7.063247,-8.000000,0.000000,0.175602
0.020000,13.992648,24.026381,12.164055,6.903247,-8.000000,-0.000000,0.188531
0.020000,14.126528,24.052811,12.300519,6.743247,-8.000000,0.000000,0.201314
0.020000,14.256930,24.080280,12.433784,6.583247,-8.000000,0.000000,0.213932
0.020000,14.383855,24.108682,12.563849,6.423247,-8.000000,0.000000,0.226364
0.020000,14.507307,24.137909,12.690714,6.263247,-8.000000,0.000000,0.238592
0.020000,14.627290,24.167855,12.814379,6.103247,-8.000000,0.000000,0.250599
0.020000,14.743814,24.198414,12.934844,5.943247,-8.000000,-0.000000,0.262370
0.020000,14.856889,24.229480,13.052109,5.783247,-8.000000,0.000000,0.273891
0.020000,14.966525,24.260949,13.166174,5.623247,-8.000000,0.000000,0.285149
0.020000,15.072740,24.292719,13.277039,5.463247,-8.000000,0.000000,0.296133
0.020000,15.175549,24.324688,13.384704,5.303247,-8.000000,0.000000,0.306833
0.020000,15.274969,24.356758,13.489169,5.143247,-8.000000,0.000000,0.317239
0.020000,15.371019,24.388833,13.590434,4.983247,-8.000000,-0.000000,0.327345
0.020000,15.463722,24.420818,13.688499,4.823247,-8.000000,0.000000,0.337143
0.020000,15.553096,24.452623,13.783364,4.663247,-8.000000,0.000000,0.346628
0.020000,15.639165,24.484159,13.875028,4.503247,-8.000000,0.000000,0.355795
0.020000,15.721951,24.515340,13.963493,4.343247,-8.000000,0.000000,0.364640
0.020000,15.801480,24.546086,14.048758,4.183247,-8.000000,0.000000,0.373161
0.020000,15.877774,24.576317,14.130823,4.023247,-8.000000,0.000000,0.381355
0.020000,15.950857,24.605956,14.209688,3.863247,-8.000000,-0.000000,0.389220
0.020000,16.020753,24.634932,14.285353,3.703247,-8.000000,0.000000,0.396756
0.020000,16.087488,24.663175,14.357818,3.543247,-8.000000,0.000000,0.403962
