dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.924167,23.865511,0.000100,0.020000,2.000000,200.000000,0.000979
0.010000,1.924140,23.865511,0.000127,0.002655,-1.734452,-373.445224,0.000953
0.010000,1.924081,23.865511,0.000186,0.005974,0.331855,206.630700,0.000893
0.010000,1.923974,23.865511,0.000292,0.010618,0.464373,13.251835,0.000787
0.010000,1.923815,23.865511,0.000452,0.015920,0.530232,6.585875,0.000628
0.010000,1.923603,23.865511,0.000664,0.021215,0.529445,-0.078726,0.000416
0.010000,1.923338,23.865511,0.000929,0.026498,0.528395,-0.104988,0.000151
0.010000,1.925545,23.865510,0.003136,0.220723,19.422474,1889.407946,6.283018
0.010000,1.930775,23.865509,0.008366,0.522975,30.225180,1080.270629,6.282648
0.010000,1.936753,23.865504,0.014343,0.597741,7.476566,-2274.861461,6.282225
0.010000,1.943478,23.865496,0.021068,0.672522,7.478151,0.158514,6.281751
0.010000,1.950951,23.865483,0.028542,0.747334,7.481171,0.302026,6.281224
0.010000,1.959173,23.865465,0.036763,0.822165,7.483110,0.193921,6.280646
0.010000,1.968143,23.865439,0.045734,0.897031,7.486606,0.349556,6.280016
0.010000,1.977862,23.865405,0.055453,0.971927,7.489614,0.300753,6.279335
0.010000,1.988331,23.865361,0.065922,1.046855,7.492753,0.313931,6.278604
0.010000,1.999549,23.865305,0.077140,1.121823,7.496800,0.404680,6.277822
0.010000,2.011517,23.865236,0.089108,1.196830,7.500734,0.393408,6.276990
0.010000,2.024235,23.865152,0.101827,1.271879,7.504942,0.420777,6.276109
0.010000,2.037705,23.865050,0.115297,1.346974,7.509429,0.448699,6.275179
0.010000,2.051925,23.864929,0.129518,1.422116,7.514200,0.477190,6.274200
0.010000,2.066898,23.864787,0.144491,1.497308,7.519263,0.506265,6.273173
0.010000,2.082622,23.864621,0.160216,1.572555,7.524622,0.535935,6.272099
0.010000,2.099100,23.864429,0.176695,1.647857,7.530285,0.566211,6.270977
0.010000,2.116331,23.864209,0.193927,1.723220,7.536256,0.597099,6.269809
0.010000,2.134315,23.863957,0.211914,1.798640,7.542010,0.575476,6.268596
0.010000,2.153054,23.863672,0.230655,1.874126,7.548565,0.655513,6.267337
0.010000,2.172549,23.863350,0.250152,1.949684,7.555829,0.726393,6.266034
0.010000,2.192798,23.862989,0.270405,2.025302,7.561791,0.596200,6.264687
0.010000,2.213805,23.862586,0.291415,2.101003,7.570090,0.829896,6.263297
0.010000,2.235568,23.862138,0.313182,2.176769,7.576645,0.655480,6.261865
0.010000,2.258088,23.861641,0.335709,2.252625,7.585588,0.894309,6.260391
0.010000,2.281367,23.861092,0.358994,2.328548,7.592266,0.667824,6.258876
0.010000,2.305406,23.860489,0.383040,2.404564,7.601599,0.933228,6.257322
0.010000,2.330203,23.859828,0.407846,2.480666,7.610261,0.866253,6.255729
0.010000,2.355762,23.859105,0.433415,2.556857,7.619028,0.876637,6.254097
0.010000,2.382081,23.858317,0.459746,2.633133,7.627653,0.862549,6.252429
0.010000,2.409163,23.857461,0.486841,2.709508,7.637521,0.986757,6.250724
0.010000,2.437007,23.856532,0.514701,2.785982,7.647363,0.984265,6.248984
0.010000,2.465615,23.855528,0.543327,2.862556,7.657369,1.000555,6.247209
0.010000,2.494987,23.854444,0.572719,2.939233,7.667694,1.032518,6.245401
0.010000,2.525125,23.853277,0.602879,3.016009,7.677639,0.994503,6.243562
0.010000,2.556028,23.852023,0.633808,3.092897,7.688804,1.116493,6.241691
0.010000,2.587699,23.850678,0.665507,3.169900,7.700256,1.145219,6.239790
0.010000,2.620137,23.849238,0.697977,3.247019,7.711896,1.164027,6.237860
0.010000,2.653344,23.847699,0.731220,3.324241,7.722241,1.034422,6.235902
0.010000,2.687320,23.846058,0.765236,3.401592,7.735054,1.281297,6.233918
0.010000,2.722067,23.844309,0.800026,3.479067,7.747486,1.243223,6.231909
0.010000,2.757585,23.842450,0.835593,3.556654,7.758727,1.124131,6.229875
0.010000,2.793875,23.840476,0.871937,3.634380,7.772626,1.389838,6.227819
0.010000,2.830938,23.838384,0.909059,3.712231,7.785135,1.250902,6.225741
0.010000,2.868776,23.836168,0.946961,3.790206,7.797482,1.234697,6.223644
0.010000,2.907388,23.833825,0.985644,3.868329,7.812309,1.482708,6.221527
0.010000,2.946776,23.831351,1.025110,3.946586,7.825702,1.339330,6.219393
0.010000,2.986941,23.828742,1.065360,4.024974,7.838731,1.302893,6.217242
0.010000,3.027884,23.825993,1.106395,4.103505,7.853139,1.440831,6.215077
0.010000,3.069606,23.823102,1.148217,4.182185,7.868027,1.488830,6.212899
0.010000,3.112107,23.820062,1.190827,4.261011,7.882616,1.458834,6.210709
0.010000,3.155390,23.816872,1.234227,4.339986,7.897504,1.488870,6.208509
0.010000,3.199454,23.813526,1.278418,4.419113,7.912696,1.519104,6.206300
0.010000,3.244301,23.810021,1.323402,4.498387,7.927397,1.470120,6.204084
0.010000,3.289932,23.806353,1.369180,4.577816,7.942876,1.547968,6.201863
0.010000,3.336348,23.802518,1.415754,4.657412,7.959576,1.669997,6.199637
0.010000,3.383550,23.798512,1.463126,4.737172,7.975968,1.639174,6.197408
0.010000,3.431539,23.794332,1.511297,4.817074,7.990247,1.427916,6.195179
0.010000,3.480316,23.789973,1.560268,4.897155,8.008133,1.788606,6.192951
0.010000,3.529883,23.785432,1.610042,4.977404,8.024828,1.669448,6.190725
0.010000,3.580240,23.780706,1.660620,5.057809,8.040561,1.573346,6.188503
0.010000,3.631388,23.775792,1.712004,5.138395,8.058606,1.804487,6.186287
0.010000,3.683329,23.770685,1.764196,5.219156,8.076042,1.743585,6.184078
0.010000,3.736064,23.765382,1.817197,5.300071,8.091505,1.546261,6.181879
0.010000,3.789594,23.759881,1.871008,5.381184,8.111304,1.979956,6.179691
0.010000,3.843920,23.754179,1.925633,5.462471,8.128712,1.740778,6.177516
0.010000,3.899044,23.748272,1.981072,5.543934,8.146289,1.757691,6.175355
0.010000,3.954966,23.742157,2.037328,5.625568,8.163441,1.715248,6.173211
0.010000,4.011689,23.735833,2.094402,5.707398,8.182981,1.953962,6.171085
0.010000,4.069213,23.729295,2.152296,5.789412,8.201417,1.843601,6.168979
0.010000,4.127539,23.722543,2.211012,5.871613,8.220104,1.868716,6.166895
0.010000,4.186670,23.715574,2.270552,5.954003,8.238957,1.885305,6.164835
0.010000,4.246606,23.708385,2.330918,6.036571,8.256835,1.787742,6.162801
0.010000,4.307349,23.700975,2.392111,6.119343,8.277188,2.035302,6.160794
0.010000,4.368901,23.693341,2.454135,6.202312,8.296854,1.966640,6.158817
0.010000,4.431262,23.685483,2.516989,6.285479,8.316747,1.989299,6.156872
0.010000,4.494435,23.677399,2.580678,6.368819,8.333957,1.720954,6.154960
