dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000994,1.000000,0.000100,0.020000,2.000000,200.000000,6.282191
0.010000,0.000974,1.000000,0.000120,0.001996,-1.800394,-380.039361,6.282211
0.010000,0.000929,1.000000,0.000165,0.004491,0.249537,204.993079,6.282256
0.010000,0.000849,1.000000,0.000245,0.007986,0.349434,9.989652,6.282336
0.010000,0.000729,1.000000,0.000365,0.011981,0.399528,5.009453,6.282456
0.010000,0.000570,1.000000,0.000524,0.015979,0.399816,0.028763,6.282616
0.010000,0.000370,1.000000,0.000724,0.019981,0.400200,0.038368,6.282815
0.010000,0.000130,1.000000,0.000964,0.023988,0.400679,0.047989,6.283055
0.010000,0.002851,1.000000,0.003685,0.272119,24.813141,2441.246184,0.000150
0.010000,0.008932,1.000002,0.009766,0.608086,33.596615,878.347374,0.000470
0.010000,0.015770,1.000007,0.016604,0.683827,7.574124,-2602.249095,0.000831
0.010000,0.023369,1.000014,0.024203,0.759911,7.608399,3.427481,0.001232
0.010000,0.031728,1.000027,0.032562,0.835849,7.593793,-1.460537,0.001674
0.010000,0.040844,1.000044,0.041678,0.911637,7.578828,-1.496564,0.002157
0.010000,0.050721,1.000068,0.051555,0.987708,7.607096,2.826864,0.002681
0.010000,0.061356,1.000099,0.062190,1.063463,7.575543,-3.155326,0.003246
0.010000,0.072749,1.000140,0.073583,1.139318,7.585508,0.996499,0.003852
0.010000,0.084902,1.000191,0.085736,1.215304,7.598502,1.299360,0.004500
0.010000,0.097811,1.000253,0.098645,1.290902,7.559876,-3.862619,0.005190
0.010000,0.111478,1.000329,0.112313,1.366762,7.585950,2.607437,0.005922
0.010000,0.125905,1.000420,0.126740,1.442676,7.591460,0.551016,0.006697
0.010000,0.141087,1.000528,0.141923,1.518309,7.563220,-2.824030,0.007514
0.010000,0.157026,1.000655,0.157862,1.593956,7.564709,0.148939,0.008374
0.010000,0.173722,1.000802,0.174558,1.669606,7.565082,0.037229,0.009277
0.010000,0.191174,1.000972,0.192011,1.745250,7.564329,-0.075244,0.010224
0.010000,0.209381,1.001167,0.210220,1.820874,7.562444,-0.188462,0.011215
0.010000,0.228345,1.001390,0.229184,1.896468,7.559420,-0.302406,0.012251
0.010000,0.248063,1.001642,0.248904,1.972021,7.555250,-0.417055,0.013331
0.010000,0.268536,1.001926,0.269380,2.047520,7.549926,-0.532389,0.014456
0.010000,0.289764,1.002246,0.290609,2.122955,7.543442,-0.648384,0.015627
0.010000,0.311744,1.002603,0.312592,2.198313,7.535792,-0.765017,0.016844
0.010000,0.334476,1.003000,0.335328,2.273582,7.526969,-0.882264,0.018107
0.010000,0.357960,1.003441,0.358817,2.348845,7.526306,-0.066313,0.019418
0.010000,0.382199,1.003928,0.383060,2.424376,7.553052,2.674600,0.020776
0.010000,0.407187,1.004465,0.408054,2.499387,7.501080,-5.197256,0.022182
0.010000,0.432925,1.005054,0.433799,2.574436,7.504960,0.388055,0.023636
0.010000,0.459415,1.005700,0.460296,2.649788,7.535149,3.018874,0.025140
0.010000,0.486650,1.006406,0.487541,2.724440,7.465233,-6.991620,0.026693
0.010000,0.514638,1.007176,0.515539,2.799856,7.541626,7.639302,0.028297
0.010000,0.543370,1.008013,0.544283,2.874380,7.452417,-8.920875,0.029951
0.010000,0.572851,1.008922,0.573778,2.949492,7.511149,5.873157,0.031658
0.010000,0.603076,1.009905,0.604020,3.024155,7.466342,-4.480624,0.033416
0.010000,0.634045,1.010969,0.635006,3.098671,7.451525,-1.481718,0.035228
0.010000,0.665760,1.012116,0.666742,3.173583,7.491239,3.971376,0.037093
0.010000,0.698217,1.013352,0.699223,3.248083,7.449975,-4.126402,0.039013
0.010000,0.731415,1.014680,0.732448,3.322479,7.439656,-1.031887,0.040988
0.010000,0.765354,1.016107,0.766416,3.396837,7.435745,-0.391078,0.043020
0.010000,0.800032,1.017636,0.801128,3.471141,7.430448,-0.529689,0.045108
0.010000,0.835448,1.019272,0.836581,3.545379,7.423750,-0.669831,0.047254
0.010000,0.871601,1.021022,0.872777,3.619535,7.415636,-0.811452,0.049458
0.010000,0.908489,1.022890,0.909713,3.693596,7.406091,-0.954498,0.051723
0.010000,0.946112,1.024881,0.947388,3.767547,7.395101,-1.098908,0.054048
0.010000,0.984467,1.027002,0.985802,3.841374,7.382655,-1.244620,0.056434
0.010000,1.023553,1.029258,1.024953,3.915061,7.368740,-1.391563,0.058883
0.010000,1.063367,1.031655,1.064839,3.988594,7.353343,-1.539663,0.061396
0.010000,1.103910,1.034200,1.105462,4.062318,7.372314,1.897113,0.063974
0.010000,1.145179,1.036898,1.146819,4.135731,7.341377,-3.093683,0.066617
0.010000,1.187170,1.039757,1.188907,4.208792,7.306119,-3.525781,0.069327
0.010000,1.229886,1.042783,1.231730,4.282274,7.348134,4.201434,0.072106
0.010000,1.273319,1.045982,1.275281,4.355091,7.281708,-6.642536,0.074954
0.010000,1.317472,1.049362,1.319563,4.428200,7.310911,2.920211,0.077873
0.010000,1.362337,1.052931,1.364570,4.500725,7.252543,-5.836766,0.080864
0.010000,1.407919,1.056695,1.410307,4.573736,7.301024,4.848109,0.083929
0.010000,1.454210,1.060662,1.456768,4.646043,7.230771,-7.025280,0.087068
0.010000,1.501208,1.064841,1.503951,4.718291,7.224757,-0.601430,0.090283
0.010000,1.548913,1.069238,1.551859,4.790801,7.250998,2.624091,0.093576
0.010000,1.597321,1.073864,1.600487,4.862808,7.200749,-5.024851,0.096949
0.010000,1.646428,1.078725,1.649833,4.934678,7.186942,-1.380725,0.100402
0.010000,1.696231,1.083831,1.699898,5.006415,7.173669,-1.327319,0.103938
0.010000,1.746727,1.089191,1.750678,5.078000,7.158525,-1.514384,0.107558
0.010000,1.797913,1.094814,1.802172,5.149415,7.141494,-1.703053,0.111264
0.010000,1.849786,1.100708,1.854378,5.220640,7.122563,-1.893103,0.115057
0.010000,1.902341,1.106885,1.907295,5.291658,7.101720,-2.084296,0.118940
