dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000100,0.020000,2.000000,200.000000,6.282191
0.010000,0.000000,0.000000,0.000500,0.060000,4.000000,200.000000,6.282211
0.010000,0.000000,0.000000,0.001400,0.120000,6.000000,200.000000,6.282256
0.010000,0.000000,0.000000,0.003000,0.200000,8.000000,200.000000,6.282336
0.010000,0.000000,0.000000,0.005400,0.280000,8.000000,0.000000,6.282456
0.010000,0.000000,0.000000,0.008600,0.360000,8.000000,-0.000000,6.282616
0.010000,0.000000,0.000000,0.012600,0.440000,8.000000,0.000000,6.282815
0.010000,0.000000,0.000000,0.017400,0.520000,8.000000,0.000000,6.283055
0.010000,0.003001,0.000000,0.023000,0.600000,8.000000,-0.000000,0.000150
0.010000,0.009402,0.000002,0.029400,0.680000,8.000000,0.000000,0.000470
0.010000,0.016601,0.000007,0.036600,0.760000,8.000000,-0.000000,0.000831
0.010000,0.024602,0.000015,0.044600,0.840000,8.000000,0.000000,0.001232
0.010000,0.033402,0.000028,0.053400,0.920000,8.000000,-0.000000,0.001674
0.010000,0.043001,0.000046,0.063000,1.000000,8.000000,0.000000,0.002157
0.010000,0.053402,0.000071,0.073400,1.080000,8.000000,0.000000,0.002681
0.010000,0.064602,0.000105,0.084600,1.160000,8.000000,0.000000,0.003246
0.010000,0.076601,0.000147,0.096600,1.240000,8.000000,-0.000000,0.003852
0.010000,0.089402,0.000201,0.109400,1.320000,8.000000,0.000000,0.004500
0.010000,0.103001,0.000267,0.123000,1.400000,8.000000,0.000000,0.005190
0.010000,0.117400,0.000347,0.137400,1.480000,8.000000,-0.000000,0.005922
0.010000,0.132601,0.000443,0.152600,1.560000,8.000000,0.000000,0.006697
0.010000,0.148601,0.000556,0.168600,1.640000,8.000000,0.000000,0.007514
0.010000,0.165400,0.000690,0.185400,1.720000,8.000000,-0.000000,0.008374
0.010000,0.182999,0.000845,0.203000,1.800000,8.000000,0.000000,0.009277
0.010000,0.201398,0.001024,0.221400,1.880000,8.000000,0.000000,0.010224
0.010000,0.220596,0.001230,0.240600,1.960000,8.000000,0.000000,0.011215
0.010000,0.240595,0.001465,0.260600,2.040000,8.000000,0.000000,0.012251
0.010000,0.261394,0.001731,0.281400,2.120000,8.000000,0.000000,0.013331
0.010000,0.282992,0.002031,0.303000,2.200000,8.000000,0.000000,0.014456
0.010000,0.305390,0.002368,0.325400,2.280000,8.000000,0.000000,0.015627
0.010000,0.328587,0.002745,0.348600,2.360000,8.000000,-0.000000,0.016844
0.010000,0.352583,0.003164,0.372600,2.440000,8.000000,0.000000,0.018107
0.010000,0.377377,0.003629,0.397400,2.520000,8.000000,0.000000,0.019418
0.010000,0.402974,0.004144,0.423000,2.600000,8.000000,0.000000,0.020776
0.010000,0.429367,0.004711,0.449400,2.680000,8.000000,0.000000,0.022182
0.010000,0.456559,0.005334,0.476600,2.760000,8.000000,0.000000,0.023636
0.010000,0.484552,0.006016,0.504600,2.840000,8.000000,-0.000000,0.025140
0.010000,0.513340,0.006763,0.533400,2.920000,8.000000,0.000000,0.026693
0.010000,0.542931,0.007576,0.563000,3.000000,8.000000,0.000000,0.028297
0.010000,0.573317,0.008462,0.593400,3.080000,8.000000,0.000000,0.029951
0.010000,0.604503,0.009423,0.624600,3.160000,8.000000,0.000000,0.031658
0.010000,0.636487,0.010464,0.656600,3.240000,8.000000,0.000000,0.033416
0.010000,0.669265,0.011589,0.689400,3.320000,8.000000,0.000000,0.035228
0.010000,0.702845,0.012804,0.723000,3.400000,8.000000,0.000000,0.037093
0.010000,0.737220,0.014113,0.757400,3.480000,8.000000,-0.000000,0.039013
0.010000,0.772392,0.015520,0.792600,3.560000,8.000000,0.000000,0.040988
0.010000,0.808360,0.017032,0.828600,3.640000,8.000000,0.000000,0.043020
