dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000994,-1.000000,0.000100,0.020000,2.000000,200.000000,6.282191
0.010000,-0.000974,-1.000000,0.000120,0.001996,-1.800394,-380.039361,6.282211
0.010000,-0.000929,-1.000000,0.000165,0.004491,0.249537,204.993079,6.282256
0.010000,-0.000849,-1.000000,0.000245,0.007986,0.349434,9.989652,6.282336
0.010000,-0.000729,-1.000000,0.000365,0.011981,0.399528,5.009453,6.282456
0.010000,-0.000570,-1.000000,0.000524,0.015979,0.399816,0.028763,6.282616
0.010000,-0.000370,-1.000000,0.000724,0.019981,0.400200,0.038368,6.282815
0.010000,-0.000130,-1.000000,0.000964,0.023988,0.400679,0.047989,6.283055
0.010000,0.003151,-1.000000,0.004245,0.328136,30.414754,3001.407433,0.000150
0.010000,0.009873,-0.999998,0.010967,0.672157,34.402176,398.742203,0.000470
0.010000,0.017433,-0.999993,0.018527,0.755957,8.379926,-2602.224945,0.000831
0.010000,0.025834,-0.999984,0.026928,0.840162,8.420563,4.063656,0.001232
0.010000,0.035076,-0.999971,0.036171,0.924237,8.407479,-1.308387,0.001674
0.010000,0.045158,-0.999951,0.046252,1.008180,8.394305,-1.317408,0.002157
0.010000,0.056083,-0.999925,0.057177,1.092473,8.429264,3.495882,0.002681
0.010000,0.067847,-0.999890,0.068942,1.176456,8.398382,-3.088189,0.003246
0.010000,0.080453,-0.999845,0.081548,1.260594,8.413744,1.536204,0.003852
0.010000,0.093902,-0.999789,0.094997,1.344922,8.432795,1.905153,0.004500
0.010000,0.108191,-0.999720,0.109285,1.428872,8.395050,-3.774530,0.005190
0.010000,0.123322,-0.999636,0.124417,1.513165,8.429246,3.419550,0.005922
0.010000,0.139298,-0.999535,0.140393,1.597575,8.441035,1.178896,0.006697
0.010000,0.156115,-0.999416,0.157210,1.681733,8.415790,-2.524416,0.007514
0.010000,0.173774,-0.999275,0.174870,1.765971,8.423811,0.802027,0.008374
0.010000,0.192276,-0.999112,0.193373,1.850281,8.430953,0.714205,0.009277
0.010000,0.211622,-0.998923,0.212719,1.934653,8.437213,0.626002,0.010224
0.010000,0.231811,-0.998707,0.232910,2.019079,8.442587,0.537447,0.011215
0.010000,0.252845,-0.998460,0.253946,2.103549,8.447073,0.448572,0.012251
0.010000,0.274724,-0.998180,0.275826,2.188056,8.450667,0.359409,0.013331
0.010000,0.297448,-0.997865,0.298552,2.272590,8.453367,0.269991,0.014456
0.010000,0.321016,-0.997510,0.322123,2.357142,8.455171,0.180353,0.015627
0.010000,0.345430,-0.997114,0.346540,2.441702,8.456076,0.090529,0.016844
0.010000,0.370689,-0.996672,0.371803,2.526263,8.456081,0.000556,0.018107
0.010000,0.396794,-0.996182,0.397912,2.610919,8.465568,0.948655,0.019418
0.010000,0.423748,-0.995641,0.424872,2.695978,8.505973,4.040530,0.020776
0.010000,0.451547,-0.995043,0.452678,2.780571,8.459280,-4.669281,0.022182
0.010000,0.480193,-0.994387,0.481331,2.865322,8.475119,1.583904,0.023636
0.010000,0.509690,-0.993668,0.510836,2.950530,8.520730,4.561098,0.025140
0.010000,0.540030,-0.992881,0.541187,3.035083,8.455335,-6.539529,0.026693
0.010000,0.571225,-0.992023,0.572393,3.120617,8.553387,9.805219,0.028297
0.010000,0.603264,-0.991090,0.604446,3.205291,8.467395,-8.599204,0.029951
0.010000,0.636156,-0.990076,0.637354,3.290759,8.546811,7.941596,0.031658
0.010000,0.669897,-0.988978,0.671113,3.375872,8.511280,-3.553161,0.033416
0.010000,0.704486,-0.987790,0.705722,3.460969,8.509682,-0.159779,0.035228
0.010000,0.739929,-0.986508,0.741189,3.546664,8.569556,5.987408,0.037093
0.010000,0.776224,-0.985127,0.777509,3.632059,8.539523,-3.003293,0.039013
0.010000,0.813369,-0.983640,0.814684,3.717505,8.544597,0.507385,0.040988
0.010000,0.851366,-0.982043,0.852715,3.803080,8.557415,1.281822,0.043020
0.010000,0.890216,-0.980330,0.891603,3.888772,8.569281,1.186619,0.045108
0.010000,0.929920,-0.978495,0.931349,3.974574,8.580190,1.090876,0.047254
0.010000,0.970477,-0.976533,0.971954,4.060476,8.590137,0.994662,0.049458
0.010000,1.011889,-0.974436,1.013418,4.146467,8.599117,0.898051,0.051723
0.010000,1.054155,-0.972199,1.055744,4.232538,8.607128,0.801121,0.054048
0.010000,1.097276,-0.969814,1.098930,4.318680,8.614168,0.703953,0.056434
0.010000,1.141251,-0.967276,1.142979,4.404882,8.620234,0.606633,0.058883
0.010000,1.186082,-0.964577,1.187891,4.491135,8.625327,0.509252,0.061396
0.010000,1.231770,-0.961709,1.233669,4.577834,8.669873,4.454577,0.063974
0.010000,1.278315,-0.958665,1.280313,4.664424,8.658965,-1.090789,0.066617
0.010000,1.325714,-0.955439,1.327822,4.750862,8.643870,-1.509436,0.069327
0.010000,1.373973,-0.952020,1.376202,4.838031,8.716808,7.293769,0.072106
0.010000,1.423087,-0.948403,1.425449,4.924712,8.668093,-4.871460,0.074954
0.010000,1.473061,-0.944576,1.475569,5.011994,8.728271,6.017766,0.077873
0.010000,1.523889,-0.940534,1.526558,5.098896,8.690223,-3.804767,0.080864
0.010000,1.575580,-0.936265,1.578424,5.186637,8.774079,8.385609,0.083929
0.010000,1.628126,-0.931762,1.631163,5.273880,8.724266,-4.981297,0.087068
0.010000,1.681529,-0.927014,1.684777,5.361361,8.748150,2.388314,0.090283
0.010000,1.735793,-0.922011,1.739271,5.449459,8.809725,6.157581,0.093576
0.010000,1.790915,-0.916744,1.794645,5.537312,8.785327,-2.439797,0.096949
0.010000,1.846895,-0.911203,1.850898,5.625345,8.803319,1.799131,0.100402
0.010000,1.903733,-0.905375,1.908034,5.713575,8.822951,1.963214,0.103938
0.010000,1.961429,-0.899252,1.966054,5.801990,8.841507,1.855631,0.107558
0.010000,2.019982,-0.892820,2.024959,5.890580,8.858986,1.747891,0.111264
0.010000,2.079393,-0.886068,2.084753,5.979333,8.875388,1.640188,0.115057
