dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,22.632765,23.174753,0.000100,0.020000,2.000000,200.000000,2.661094
0.010000,22.632948,23.174658,0.000306,0.020617,0.061729,-193.827058,2.661301
0.010000,22.633360,23.174444,0.000770,0.046409,2.579218,251.748878,2.661765
0.010000,22.634092,23.174063,0.001596,0.082576,3.616656,103.743764,2.662590
0.010000,22.634179,23.174018,0.001694,0.009795,-7.278153,-1089.480883,2.663831
0.010000,22.632811,23.174725,0.003234,0.154025,14.423023,2170.117584,2.665490
0.010000,22.631106,23.175601,0.005151,0.191678,3.765365,-1065.765786,2.667574
0.010000,22.629070,23.176643,0.007438,0.228686,3.700726,-6.463867,2.670087
0.010000,22.626708,23.177843,0.010088,0.264968,3.628261,-7.246547,2.673038
0.010000,22.624027,23.179194,0.013090,0.300280,3.531163,-9.709796,2.676434
0.010000,22.621032,23.180690,0.016438,0.334744,3.446385,-8.477751,2.680288
0.010000,22.617733,23.182321,0.020117,0.367949,3.320530,-12.585513,2.684608
0.010000,22.614141,23.184077,0.024116,0.399888,3.193895,-12.663516,2.689409
0.010000,22.610265,23.185947,0.028420,0.430367,3.047864,-14.603089,2.694705
0.010000,22.606116,23.187920,0.033014,0.459375,2.900790,-14.707427,2.700512
0.010000,22.601711,23.189983,0.037878,0.486487,2.711257,-18.953316,2.706847
0.010000,22.597062,23.192123,0.042996,0.511745,2.525810,-18.544664,2.713729
0.010000,22.592187,23.194324,0.048345,0.534929,2.318348,-20.746200,2.721180
0.010000,22.587103,23.196572,0.053903,0.555812,2.088313,-23.003551,2.729222
0.010000,22.581832,23.198851,0.059646,0.574308,1.849665,-23.864793,2.737879
0.010000,22.576394,23.201145,0.065548,0.590139,1.583042,-26.662274,2.747177
0.010000,22.570814,23.203435,0.071580,0.603204,1.306551,-27.649107,2.757145
0.010000,22.565117,23.205705,0.077713,0.613271,1.006652,-29.989860,2.767812
0.010000,22.559330,23.207937,0.083914,0.620187,0.691613,-31.503921,2.779210
0.010000,22.553485,23.210113,0.090152,0.623777,0.358982,-33.263098,2.791372
0.010000,22.547610,23.212216,0.096391,0.623929,0.015230,-34.375191,2.804333
0.010000,22.541742,23.214229,0.102596,0.620461,-0.346856,-36.208592,2.818129
0.010000,22.535913,23.216136,0.108729,0.613265,-0.719559,-37.270286,2.832796
0.010000,22.530161,23.217923,0.114752,0.602338,-1.092726,-37.316702,2.848372
0.010000,22.524521,23.219576,0.120629,0.587652,-1.468567,-37.584172,2.864896
0.010000,22.519032,23.221083,0.126321,0.569224,-1.842830,-37.426228,2.882403
0.010000,22.513730,23.222438,0.131793,0.547249,-2.197484,-35.465441,2.900931
0.010000,22.508649,23.223633,0.137013,0.521934,-2.531453,-33.396923,2.920511
0.010000,22.503822,23.224666,0.141949,0.493669,-2.826543,-29.508951,2.941174
0.010000,22.499276,23.225540,0.146579,0.462966,-3.070282,-24.373898,2.962944
0.010000,22.495031,23.226257,0.150884,0.430497,-3.246965,-17.668278,2.985839
0.010000,22.491101,23.226827,0.154855,0.397147,-3.334978,-8.801328,3.009868
0.010000,22.487487,23.227261,0.158495,0.363956,-3.319043,1.593519,3.035028
0.010000,22.484179,23.227572,0.161818,0.332251,-3.170497,14.854579,3.061306
0.010000,22.481151,23.227775,0.164853,0.303516,-2.873487,29.701030,3.088670
0.010000,22.478358,23.227883,0.167647,0.279473,-2.404338,46.914859,3.117075
0.010000,22.475738,23.227910,0.170267,0.261994,-1.747909,65.642862,3.146455
0.010000,22.473208,23.227859,0.172798,0.253102,-0.889249,85.866011,3.176724
