dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.075026,21.204408,0.000100,0.020000,2.000000,200.000000,1.569267
0.010000,18.075026,21.204320,0.000187,0.008736,-1.126377,-312.637685,1.569355
0.010000,18.075025,21.204124,0.000384,0.019663,1.092681,221.905769,1.569551
0.010000,18.075025,21.203774,0.000734,0.034979,1.531577,43.889648,1.569901
0.010000,18.075025,21.203249,0.001259,0.052522,1.754296,22.271903,1.570426
0.010000,18.075024,21.204060,0.002070,0.081141,2.861946,110.764957,1.571128
0.010000,18.075022,21.207181,0.005191,0.312074,23.093289,2023.134331,1.572007
0.010000,18.075016,21.210922,0.008933,0.374138,6.206410,-1688.687895,1.573067
0.010000,18.075003,21.215280,0.013291,0.435844,6.170562,-3.584839,1.574308
0.010000,18.074982,21.220254,0.018265,0.497386,6.154176,-1.638575,1.575733
0.010000,18.074950,21.225841,0.023852,0.558669,6.128386,-2.579032,1.577347
0.010000,18.074904,21.232037,0.030048,0.619599,6.093002,-3.538368,1.579151
0.010000,18.074840,21.238837,0.036848,0.680078,6.047839,-4.516308,1.581151
0.010000,18.074755,21.246237,0.044248,0.740005,5.992714,-5.512535,1.583349
0.010000,18.074645,21.254235,0.052247,0.799879,5.987401,-0.531304,1.585752
0.010000,18.074506,21.262821,0.060834,0.858697,5.881824,-10.557689,1.588364
0.010000,18.074332,21.271992,0.070007,0.917338,5.864082,-1.774159,1.591191
0.010000,18.074118,21.281742,0.079759,0.975186,5.784781,-7.930167,1.594239
0.010000,18.073859,21.292062,0.090082,1.032293,5.710681,-7.409967,1.597517
0.010000,18.073549,21.302944,0.100969,1.088642,5.634905,-7.577624,1.601030
0.010000,18.073182,21.314379,0.112410,1.144177,5.553575,-8.132987,1.604787
0.010000,18.072750,21.326362,0.124401,1.199015,5.483791,-6.978355,1.608798
0.010000,18.072248,21.338876,0.136925,1.252455,5.343972,-13.981959,1.613072
0.010000,18.071667,21.351917,0.149978,1.305323,5.286771,-5.720091,1.617620
0.010000,18.070999,21.365467,0.163545,1.356682,5.135930,-15.084118,1.622454
0.010000,18.070237,21.379515,0.177614,1.406905,5.022302,-11.362746,1.627584
0.010000,18.069371,21.394048,0.192172,1.455818,4.891247,-13.105541,1.633026
0.010000,18.068393,21.409048,0.207205,1.503237,4.741974,-14.927243,1.638794
0.010000,18.067294,21.424499,0.222695,1.549001,4.576324,-16.565068,1.644902
0.010000,18.066063,21.440386,0.238629,1.593409,4.440809,-13.551425,1.651370
0.010000,18.064691,21.456684,0.254985,1.635589,4.218069,-22.274006,1.658213
0.010000,18.063168,21.473374,0.271744,1.675927,4.033738,-18.433153,1.665453
0.010000,18.061483,21.490433,0.288886,1.714198,3.827164,-20.657391,1.673111
0.010000,18.059625,21.507835,0.306388,1.750144,3.594555,-23.260912,1.681211
0.010000,18.057584,21.525553,0.324222,1.783492,3.334801,-25.975415,1.689776
0.010000,18.055350,21.543557,0.342364,1.814176,3.068380,-26.642083,1.698833
0.010000,18.052911,21.561814,0.360783,1.841928,2.775200,-29.317934,1.708413
0.010000,18.050257,21.580291,0.379450,1.866678,2.475036,-30.016466,1.718547
0.010000,18.047379,21.598949,0.398329,1.887885,2.120717,-35.431835,1.729267
0.010000,18.044266,21.617750,0.417386,1.905647,1.776135,-34.458275,1.740612
0.010000,18.040910,21.636646,0.436578,1.919226,1.357890,-41.824433,1.752619
0.010000,18.037302,21.655594,0.455866,1.928836,0.961011,-39.687932,1.765331
0.010000,18.033438,21.674542,0.475204,1.933799,0.496291,-46.472018,1.778793
0.010000,18.029311,21.693436,0.494544,1.933964,0.016502,-47.978895,1.793052
0.010000,18.024918,21.712220,0.513835,1.929097,-0.486682,-50.318398,1.808162
0.010000,18.020259,21.730833,0.533021,1.918660,-1.043713,-55.703072,1.824174
0.010000,18.015335,21.749211,0.552048,1.902651,-1.600896,-55.718335,1.841147
0.010000,18.010151,21.767289,0.570854,1.880583,-2.206801,-60.590426,1.859142
0.010000,18.004717,21.784996,0.589376,1.852246,-2.833689,-62.688827,1.878219
0.010000,17.999045,21.802263,0.607551,1.817505,-3.474037,-64.034803,1.898444
0.010000,17.993151,21.819019,0.625314,1.776268,-4.123785,-64.974827,1.919881
0.010000,17.987057,21.835195,0.642599,1.728534,-4.773394,-64.960863,1.942594
0.010000,17.980789,21.850724,0.659346,1.674643,-5.389053,-61.565927,1.966648
0.010000,17.974377,21.865544,0.675493,1.614742,-5.990108,-60.105506,1.992100
0.010000,17.967853,21.879600,0.690989,1.549611,-6.513048,-52.294019,2.019003
0.010000,17.961253,21.892849,0.705791,1.480219,-6.939281,-42.623271,2.047400
0.010000,17.954611,21.905262,0.719869,1.407766,-7.245295,-30.601391,2.077322
0.010000,17.947960,21.916825,0.733209,1.334034,-7.373124,-12.782949,2.108781
0.010000,17.941323,21.927549,0.745820,1.261112,-7.292202,8.092219,2.141769
0.010000,17.934714,21.937465,0.757737,1.191668,-6.944459,34.774308,2.176252
0.010000,17.928127,21.946630,0.769024,1.128657,-6.301042,64.341690,2.212165
0.010000,17.921535,21.955128,0.779779,1.075488,-5.316964,98.407786,2.249409
0.010000,17.914881,21.963066,0.790136,1.035785,-3.970245,134.671960,2.287850
0.010000,17.908074,21.970571,0.800269,1.013236,-2.254965,171.528019,2.327317
0.010000,17.900986,21.977785,0.810382,1.011360,-0.187564,206.740083,2.367603
0.010000,17.893450,21.984854,0.820715,1.033284,2.192352,237.991611,2.408469
0.010000,17.885265,21.991923,0.831530,1.081453,4.816898,262.454510,2.449654
0.010000,17.876200,21.999120,0.843104,1.157469,7.601637,278.473922,2.490878
0.010000,17.866003,22.006553,0.855723,1.261898,10.442951,284.131400,2.531858
0.010000,17.854410,22.014300,0.869666,1.394251,13.235246,279.229572,2.572315
0.010000,17.841162,22.022404,0.885196,1.553016,15.876498,264.125118,2.611984
0.010000,17.826012,22.030875,0.902554,1.735814,18.279840,240.334239,2.650624
0.010000,17.808735,22.039691,0.921950,1.939604,20.378972,209.913241,2.688027
0.010000,17.789139,22.048800,0.943560,2.160951,22.134687,175.571448,2.724016
0.010000,17.767067,22.058130,0.967522,2.396253,23.530231,139.554414,2.758453
0.010000,17.742401,22.067594,0.993942,2.641983,24.572952,104.272094,2.791232
0.010000,17.715056,22.077096,1.022890,2.894831,25.284811,71.185945,2.822282
0.010000,17.684986,22.086541,1.054410,3.151913,25.708262,42.345039,2.851562
0.010000,17.652169,22.095834,1.088517,3.410734,25.882012,17.375031,2.879053
0.010000,17.616612,22.104890,1.125209,3.669234,25.850005,-3.200732,2.904760
0.010000,17.578339,22.113633,1.164468,3.925901,25.666764,-18.324079,2.928700
0.010000,17.537389,22.122000,1.206264,4.179537,25.363538,-30.322575,2.950904
0.010000,17.493813,22.129938,1.250557,4.429359,24.982280,-38.125849,2.971409
0.010000,17.447664,22.137411,1.297307,4.674947,24.558720,-42.355965,2.990259
0.010000,17.399002,22.144394,1.346468,4.916077,24.113064,-44.565620,3.007498
0.010000,17.347883,22.150872,1.397995,5.152785,23.670728,-44.233582,3.023170
0.010000,17.294363,22.156847,1.451848,5.385284,23.249937,-42.079121,3.037316
0.010000,17.238492,22.162328,1.507988,5.613938,22.865452,-38.448501,3.049977
0.010000,17.180314,22.167335,1.566380,5.839231,22.529261,-33.619056,3.061184
0.010000,17.119869,22.171899,1.626997,6.061743,22.251234,-27.802703,3.070966
0.010000,17.057186,22.176061,1.689819,6.282141,22.039717,-21.151729,3.079345
0.010000,16.992286,22.179870,1.754830,6.501127,21.898628,-14.108892,3.086333
0.010000,16.925182,22.183384,1.822026,6.719577,21.845042,-5.358619,3.091938
0.010000,16.855877,22.186673,1.891409,6.938310,21.873288,2.824648,3.096154
0.010000,16.784363,22.189815,1.962992,7.158341,22.003044,12.975537,3.098971
0.010000,16.710620,22.192900,2.036799,7.380692,22.235131,23.208683,3.100364
0.010000,16.634619,22.196028,2.112864,7.606516,22.582419,34.728873,3.100299
0.010000,16.556318,22.199315,2.191235,7.837080,23.056388,47.396819,3.098728
0.010000,16.475659,22.202891,2.271973,8.073781,23.670074,61.368667,3.095590
0.010000,16.392574,22.206904,2.355155,8.318184,24.440330,77.025549,3.090809
0.010000,16.306978,22.211523,2.440875,8.572019,25.383533,94.320283,3.084288
0.010000,16.218772,22.216942,2.529247,8.837246,26.522710,113.917796,3.075916
0.010000,16.127839,22.223383,2.620409,9.116104,27.885716,136.300600,3.065554
0.010000,16.034046,22.231104,2.714518,9.410995,29.489122,160.340572,3.053044
0.010000,15.937245,22.240407,2.811766,9.724715,31.372026,188.290430,3.038196
0.010000,15.837271,22.251644,2.912369,10.060339,33.562386,219.035998,3.020791
0.010000,15.733949,22.265228,3.016580,10.421142,36.080332,251.794520,3.000578
0.010000,15.658559,22.276237,3.092770,7.618971,-280.217094,-31629.742560,2.995303
0.010000,15.572059,22.289064,3.180216,8.744577,112.560573,39277.766646,2.993457
