dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,19.075025,21.202879,0.000100,0.020000,2.000000,200.000000,1.569267
0.010000,19.075025,21.202879,0.000500,0.060000,4.000000,200.000000,1.569355
0.010000,19.075025,21.202879,0.001400,0.120000,6.000000,200.000000,1.569551
0.010000,19.075025,21.202879,0.003000,0.200000,8.000000,200.000000,1.569901
0.010000,19.075025,21.202879,0.005400,0.280000,8.000000,0.000000,1.570426
0.010000,19.075024,21.204392,0.008600,0.360000,8.000000,-0.000000,1.571128
0.010000,19.075021,21.208392,0.012600,0.440000,8.000000,0.000000,1.572007
0.010000,19.075013,21.213192,0.017400,0.520000,8.000000,0.000000,1.573067
0.010000,19.074997,21.218792,0.023000,0.600000,8.000000,-0.000000,1.574308
0.010000,19.074970,21.225191,0.029400,0.680000,8.000000,0.000000,1.575733
0.010000,19.074928,21.232391,0.036600,0.760000,8.000000,-0.000000,1.577347
0.010000,19.074869,21.240392,0.044600,0.840000,8.000000,0.000000,1.579151
0.010000,19.074786,21.249192,0.053400,0.920000,8.000000,-0.000000,1.581151
0.010000,19.074677,21.258789,0.063000,1.000000,8.000000,0.000000,1.583349
0.010000,19.074533,21.269190,0.073400,1.080000,8.000000,0.000000,1.585752
0.010000,19.074351,21.280387,0.084600,1.160000,8.000000,0.000000,1.588364
0.010000,19.074124,21.292385,0.096600,1.240000,8.000000,-0.000000,1.591191
0.010000,19.073843,21.305183,0.109400,1.320000,8.000000,0.000000,1.594239
0.010000,19.073502,21.318779,0.123000,1.400000,8.000000,0.000000,1.597517
0.010000,19.073092,21.333172,0.137400,1.480000,8.000000,-0.000000,1.601030
0.010000,19.072604,21.348364,0.152600,1.560000,8.000000,0.000000,1.604787
0.010000,19.072028,21.364355,0.168600,1.640000,8.000000,0.000000,1.608798
0.010000,19.071354,21.381140,0.185400,1.720000,8.000000,-0.000000,1.613072
0.010000,19.070571,21.398724,0.203000,1.800000,8.000000,0.000000,1.617620
0.010000,19.069665,21.417101,0.221400,1.880000,8.000000,0.000000,1.622454
0.010000,19.068625,21.436273,0.240600,1.960000,8.000000,0.000000,1.627584
0.010000,19.067435,21.456238,0.260600,2.040000,8.000000,0.000000,1.633026
0.010000,19.066082,21.476993,0.281400,2.120000,8.000000,0.000000,1.638794
0.010000,19.064549,21.498537,0.303000,2.200000,8.000000,0.000000,1.644902
0.010000,19.062819,21.520872,0.325400,2.280000,8.000000,0.000000,1.651370
0.010000,19.060872,21.543990,0.348600,2.360000,8.000000,-0.000000,1.658213
0.010000,19.058691,21.567890,0.372600,2.440000,8.000000,0.000000,1.665453
0.010000,19.056253,21.592569,0.397400,2.520000,8.000000,0.000000,1.673111
0.010000,19.053535,21.618025,0.423000,2.600000,8.000000,0.000000,1.681211
0.010000,19.050515,21.644252,0.449400,2.680000,8.000000,0.000000,1.689776
0.010000,19.047164,21.671244,0.476600,2.760000,8.000000,0.000000,1.698833
0.010000,19.043457,21.698997,0.504600,2.840000,8.000000,-0.000000,1.708413
0.010000,19.039362,21.727504,0.533400,2.920000,8.000000,0.000000,1.718547
0.010000,19.034849,21.756758,0.563000,3.000000,8.000000,0.000000,1.729267
0.010000,19.029882,21.786750,0.593400,3.080000,8.000000,0.000000,1.740612
0.010000,19.024425,21.817469,0.624600,3.160000,8.000000,0.000000,1.752619
0.010000,19.018440,21.848904,0.656600,3.240000,8.000000,0.000000,1.765331
0.010000,19.011884,21.881042,0.689400,3.320000,8.000000,0.000000,1.778793
0.010000,19.004713,21.913867,0.723000,3.400000,8.000000,0.000000,1.793052
0.010000,18.996879,21.947363,0.757400,3.480000,8.000000,-0.000000,1.808162
0.010000,18.988330,21.981508,0.792600,3.560000,8.000000,0.000000,1.824174
0.010000,18.979012,22.016281,0.828600,3.640000,8.000000,0.000000,1.841147
0.010000,18.968867,22.051655,0.865400,3.720000,8.000000,0.000000,1.859142
