dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.075023,21.201350,0.000100,0.020000,2.000000,200.000000,1.569267
0.010000,20.075024,21.201437,0.000187,0.008736,-1.126377,-312.637685,1.569355
0.010000,20.075024,21.201634,0.000384,0.019663,1.092681,221.905769,1.569551
0.010000,20.075024,21.201984,0.000734,0.034979,1.531577,43.889648,1.569901
0.010000,20.075025,21.202509,0.001259,0.052522,1.754296,22.271903,1.570426
0.010000,20.075024,21.204724,0.003474,0.221480,16.895833,1514.153711,1.571128
0.010000,20.075021,21.209603,0.008353,0.487933,26.645300,974.946624,1.572007
0.010000,20.075010,21.215463,0.014213,0.585991,9.805775,-1683.952490,1.573067
0.010000,20.074991,21.222303,0.021054,0.684052,9.806073,0.029840,1.574308
0.010000,20.074958,21.230128,0.028879,0.782521,9.846951,4.087812,1.575733
0.010000,20.074907,21.238942,0.037692,0.881357,9.883591,3.663969,1.577347
0.010000,20.074834,21.248747,0.047498,0.980517,9.915989,3.239788,1.579151
0.010000,20.074733,21.259546,0.058297,1.079958,9.944157,2.816823,1.581151
0.010000,20.074598,21.271342,0.070093,1.179640,9.968124,2.396710,1.583349
0.010000,20.074422,21.284145,0.082898,1.280481,10.084125,11.600115,1.585752
0.010000,20.074197,21.297953,0.096708,1.381010,10.052887,-3.123795,1.588364
0.010000,20.073916,21.312778,0.111536,1.482772,10.176227,12.333989,1.591191
0.010000,20.073568,21.328624,0.127385,1.584926,10.215359,3.913194,1.594239
0.010000,20.073145,21.345496,0.144262,1.687707,10.278158,6.279879,1.597517
0.010000,20.072635,21.363401,0.162175,1.791255,10.354734,7.657637,1.601030
0.010000,20.072027,21.382348,0.181132,1.895654,10.439966,8.523192,1.604787
0.010000,20.071306,21.402348,0.201144,2.001292,10.563786,12.382002,1.608798
0.010000,20.070461,21.423403,0.222216,2.107202,10.591009,2.722263,1.613072
0.010000,20.069475,21.445531,0.244366,2.214991,10.778841,18.783220,1.617620
0.010000,20.068331,21.468736,0.267600,2.323316,10.832489,5.364784,1.622454
0.010000,20.067013,21.493031,0.291930,2.433059,10.974364,14.187480,1.627584
0.010000,20.065500,21.518428,0.317372,2.544203,11.114348,13.998402,1.633026
0.010000,20.063771,21.544939,0.343939,2.656729,11.252597,13.824947,1.638794
0.010000,20.061805,21.572575,0.371646,2.770669,11.394032,14.143434,1.644902
0.010000,20.059574,21.601358,0.400515,2.886924,11.625457,23.142510,1.651370
0.010000,20.057054,21.631295,0.430558,3.004303,11.737992,11.253527,1.658213
0.010000,20.054214,21.662405,0.461798,3.123914,11.961042,22.304978,1.665453
0.010000,20.051023,21.694706,0.494256,3.245808,12.189445,22.840357,1.673111
0.010000,20.047446,21.728216,0.527956,3.369996,12.418757,22.931137,1.681211
0.010000,20.043445,21.762951,0.562920,3.496489,12.649310,23.055283,1.689776
0.010000,20.038979,21.798932,0.599178,3.625738,12.924901,27.559135,1.698833
0.010000,20.034003,21.836180,0.636756,3.757849,13.211088,28.618673,1.708413
0.010000,20.028467,21.874718,0.675690,3.893380,13.553109,34.202126,1.718547
0.010000,20.022318,21.914566,0.716010,4.031959,13.857885,30.477616,1.729267
0.010000,20.015498,21.955751,0.757756,4.174602,14.264305,40.642035,1.740612
0.010000,20.007941,21.998291,0.800961,4.320574,14.597251,33.294562,1.752619
0.010000,19.999578,22.042214,0.845674,4.471274,15.069995,47.274411,1.765331
0.010000,19.990331,22.087542,0.891936,4.626147,15.487242,41.724644,1.778793
0.010000,19.980116,22.134298,0.939794,4.785850,15.970374,48.313215,1.793052
0.010000,19.968840,22.182506,0.989303,4.950903,16.505298,53.492435,1.808162
0.010000,19.956401,22.232182,1.040514,5.121027,17.012341,50.704336,1.824174
0.010000,19.942689,22.283350,1.093486,5.297296,17.626963,61.462187,1.841147
0.010000,19.927583,22.336021,1.148281,5.479426,18.212992,58.602890,1.859142
0.010000,19.910951,22.390202,1.204958,5.667696,18.826996,61.400346,1.878219
0.010000,19.892649,22.445896,1.263582,5.862386,19.468978,64.198187,1.898444
0.010000,19.872524,22.503095,1.324217,6.063561,20.117439,64.846100,1.919881
0.010000,19.850409,22.561777,1.386928,6.271075,20.751473,63.403448,1.942594
0.010000,19.826126,22.621912,1.451781,6.485320,21.424494,67.302131,1.966648
0.010000,19.799490,22.683444,1.518831,6.705004,21.968404,54.390932,1.992100
0.010000,19.770305,22.746299,1.588131,6.930010,22.500614,53.221076,2.019003
0.010000,19.738369,22.810377,1.659727,7.159548,22.953757,45.314282,2.047400
0.010000,19.703482,22.875545,1.733645,7.391863,23.231510,27.775242,2.077322
0.010000,19.665446,22.941638,1.809902,7.625621,23.375811,14.430117,2.108781
0.010000,19.624075,23.008450,1.888485,7.858357,23.273575,-10.223536,2.141769
0.010000,19.579200,23.075738,1.969364,8.087918,22.956137,-31.743853,2.176252
