dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000000,17.000000,0.000800,0.080000,4.000000,200.000000,6.282532
0.020000,6.000000,17.000000,0.004000,0.240000,8.000000,200.000000,6.282644
0.020000,6.000000,17.000000,0.010400,0.400000,8.000000,0.000000,6.282867
0.020000,6.000513,17.000000,0.020000,0.560000,8.000000,0.000000,0.000018
0.020000,6.013313,17.000003,0.032800,0.720000,8.000000,-0.000000,0.000466
0.020000,6.029313,17.000015,0.048800,0.880000,8.000000,0.000000,0.001027
0.020000,6.048513,17.000041,0.068000,1.040000,8.000000,0.000000,0.001701
0.020000,6.070913,17.000088,0.090400,1.200000,8.000000,-0.000000,0.002488
0.020000,6.096513,17.000163,0.116000,1.360000,8.000000,0.000000,0.003389
0.020000,6.125313,17.000276,0.144800,1.520000,8.000000,-0.000000,0.004405
0.020000,6.157312,17.000435,0.176800,1.680000,8.000000,0.000000,0.005536
0.020000,6.192511,17.000651,0.212000,1.840000,8.000000,0.000000,0.006784
0.020000,6.230910,17.000938,0.250400,2.000000,8.000000,-0.000000,0.008148
0.020000,6.272508,17.001308,0.292000,2.160000,8.000000,0.000000,0.009630
0.020000,6.317307,17.001775,0.336800,2.320000,8.000000,-0.000000,0.011232
0.020000,6.365303,17.002356,0.384800,2.480000,8.000000,0.000000,0.012953
0.020000,6.416498,17.003066,0.436000,2.640000,8.000000,0.000000,0.014796
0.020000,6.470891,17.003924,0.490400,2.800000,8.000000,-0.000000,0.016762
0.020000,6.528482,17.004950,0.548000,2.960000,8.000000,0.000000,0.018851
0.020000,6.589270,17.006163,0.608800,3.120000,8.000000,0.000000,0.021066
0.020000,6.653254,17.007586,0.672800,3.280000,8.000000,-0.000000,0.023408
0.020000,6.720434,17.009242,0.740000,3.440000,8.000000,0.000000,0.025879
0.020000,6.790808,17.011155,0.810400,3.600000,8.000000,0.000000,0.028480
0.020000,6.864375,17.013351,0.884000,3.760000,8.000000,-0.000000,0.031214
0.020000,6.941134,17.015858,0.960800,3.920000,8.000000,0.000000,0.034081
0.020000,7.021083,17.018704,1.040800,4.080000,8.000000,0.000000,0.037085
0.020000,7.104221,17.021920,1.124000,4.240000,8.000000,0.000000,0.040227
0.020000,7.190545,17.025536,1.210400,4.400000,8.000000,0.000000,0.043510
0.020000,7.280054,17.029586,1.300000,4.560000,8.000000,-0.000000,0.046936
0.020000,7.372744,17.034106,1.392800,4.720000,8.000000,0.000000,0.050506
0.020000,7.468612,17.039130,1.488800,4.880000,8.000000,0.000000,0.054225
0.020000,7.567656,17.044698,1.588000,5.040000,8.000000,0.000000,0.058094
0.020000,7.669870,17.050849,1.690400,5.200000,8.000000,0.000000,0.062116
0.020000,7.775253,17.057624,1.796000,5.360000,8.000000,0.000000,0.066294
0.020000,7.883798,17.065066,1.904800,5.520000,8.000000,-0.000000,0.070631
0.020000,7.995500,17.073221,2.016800,5.680000,8.000000,0.000000,0.075129
0.020000,8.110355,17.082136,2.132000,5.840000,8.000000,0.000000,0.079793
0.020000,8.228355,17.091858,2.250400,6.000000,8.000000,0.000000,0.084625
0.020000,8.349493,17.102439,2.372000,6.160000,8.000000,0.000000,0.089628
0.020000,8.473763,17.113930,2.496800,6.320000,8.000000,0.000000,0.094806
0.020000,8.601156,17.126388,2.624800,6.480000,8.000000,0.000000,0.100163
0.020000,8.731661,17.139868,2.756000,6.640000,8.000000,-0.000000,0.105701
0.020000,8.865269,17.154430,2.890400,6.800000,8.000000,0.000000,0.111426
0.020000,9.001970,17.170134,3.028000,6.960000,8.000000,0.000000,0.117339
0.020000,9.141751,17.187044,3.168800,7.120000,8.000000,0.000000,0.123447
0.020000,9.284598,17.205225,3.312800,7.280000,8.000000,0.000000,0.129751
0.020000,9.430498,17.224745,3.460000,7.440000,8.000000,0.000000,0.136258
0.020000,9.579435,17.245673,3.610400,7.600000,8.000000,-0.000000,0.142969
0.020000,9.731390,17.268084,3.764000,7.760000,8.000000,0.000000,0.149890
