dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.999346,16.000000,0.000800,0.080000,4.000000,200.000000,6.282532
0.020000,5.999458,16.000000,0.000912,0.005593,-3.720329,-386.016440,6.282644
0.020000,5.999682,16.000000,0.001136,0.011190,0.279821,200.007474,6.282867
0.020000,6.000531,16.000000,0.001984,0.042426,1.561796,64.098763,0.000018
0.020000,6.013779,16.000003,0.015233,0.662438,31.000593,1471.939854,0.000466
0.020000,6.030340,16.000016,0.031794,0.828042,8.280241,-1136.017625,0.001027
0.020000,6.050214,16.000043,0.051668,0.993687,8.282237,0.099804,0.001701
0.020000,6.073401,16.000091,0.074855,1.159358,8.283524,0.064392,0.002488
0.020000,6.099902,16.000169,0.101355,1.325031,8.283673,0.007448,0.003389
0.020000,6.129718,16.000285,0.131172,1.490828,8.289853,0.308997,0.004405
0.020000,6.162848,16.000450,0.164303,1.656535,8.285333,-0.226001,0.005536
0.020000,6.199295,16.000674,0.200750,1.822373,8.291912,0.328945,0.006784
0.020000,6.239058,16.000971,0.240515,1.988224,8.292547,0.031746,0.008148
0.020000,6.282139,16.001354,0.283597,2.154104,8.294019,0.073576,0.009630
0.020000,6.328538,16.001838,0.329999,2.320104,8.299966,0.297381,0.011232
0.020000,6.378256,16.002439,0.379720,2.486067,8.298173,-0.089650,0.012953
0.020000,6.431294,16.003175,0.432763,2.652159,8.304574,0.320030,0.014796
0.020000,6.487652,16.004065,0.489129,2.818267,8.305417,0.042170,0.016762
0.020000,6.547332,16.005127,0.548818,2.984475,8.310394,0.248839,0.018851
0.020000,6.610335,16.006385,0.611833,3.150759,8.314218,0.191203,0.021066
0.020000,6.676661,16.007860,0.678175,3.317097,8.316901,0.134135,0.023408
0.020000,6.746310,16.009577,0.747846,3.483529,8.321576,0.233737,0.025879
0.020000,6.819284,16.011561,0.820847,3.650052,8.326178,0.230142,0.028480
0.020000,6.895584,16.013839,0.897180,3.816685,8.331630,0.272585,0.031214
0.020000,6.975209,16.016439,0.976848,3.983379,8.334721,0.154549,0.034081
0.020000,7.058160,16.019392,1.059852,4.150175,8.339774,0.252627,0.037085
0.020000,7.144438,16.022729,1.146194,4.317111,8.346828,0.352732,0.040227
0.020000,7.234042,16.026482,1.235877,4.484138,8.351324,0.224811,0.043510
0.020000,7.326972,16.030687,1.328902,4.651280,8.357116,0.289593,0.046936
0.020000,7.423229,16.035381,1.425273,4.818530,8.362502,0.269295,0.050506
0.020000,7.522810,16.040600,1.524991,4.985927,8.369843,0.367022,0.054225
0.020000,7.625717,16.046385,1.628060,5.153448,8.376019,0.308826,0.058094
0.020000,7.731946,16.052777,1.734482,5.321069,8.381060,0.252029,0.062116
0.020000,7.841498,16.059821,1.844260,5.488921,8.392629,0.578480,0.066294
0.020000,7.954370,16.067560,1.957397,5.656825,8.395194,0.128229,0.070631
0.020000,8.070559,16.076042,2.073895,5.824919,8.404713,0.475933,0.075129
0.020000,8.190063,16.085317,2.193759,5.993180,8.413031,0.415898,0.079793
0.020000,8.312879,16.095436,2.316990,6.161584,8.420184,0.357691,0.084625
0.020000,8.439001,16.106452,2.443593,6.330132,8.427422,0.361874,0.089628
0.020000,8.568427,16.118421,2.573571,6.498916,8.439191,0.588459,0.094806
0.020000,8.701151,16.131400,2.706928,6.667828,8.445616,0.321264,0.100163
0.020000,8.837165,16.145450,2.843666,6.836922,8.454665,0.452426,0.105701
0.020000,8.976465,16.160632,2.983790,7.006196,8.463711,0.452319,0.111426
0.020000,9.119041,16.177011,3.127304,7.175690,8.474703,0.549578,0.117339
0.020000,9.264884,16.194654,3.274211,7.345350,8.482996,0.414656,0.123447
0.020000,9.413986,16.213631,3.424516,7.515233,8.494160,0.558184,0.129751
0.020000,9.566334,16.234013,3.578221,7.685289,8.502817,0.432866,0.136258
0.020000,9.721917,16.255876,3.735332,7.855555,8.513294,0.523851,0.142969
0.020000,9.880720,16.279296,3.895853,8.026024,8.523462,0.508417,0.149890
0.020000,10.042728,16.304354,4.059788,8.196750,8.536296,0.641667,0.157025
0.020000,10.207099,16.330994,4.226304,8.325780,6.451506,-104.239474,0.164341
0.020000,10.372166,16.358997,4.393728,8.371246,2.273265,-208.912051,0.171767
0.020000,10.537091,16.388244,4.561227,8.374916,0.183529,-104.486799,0.179265
0.020000,10.701862,16.418747,4.728798,8.378548,0.181566,-0.098162,0.186837
0.020000,10.866468,16.450515,4.896441,8.382154,0.180318,-0.062372,0.194480
0.020000,11.030895,16.483560,5.064156,8.385746,0.179575,-0.037182,0.202196
0.020000,11.195131,16.517894,5.231942,8.389319,0.178655,-0.046007,0.209983
0.020000,11.359163,16.553527,5.399800,8.392879,0.178001,-0.032685,0.217841
0.020000,11.522978,16.590469,5.567728,8.396419,0.177002,-0.049971,0.225769
0.020000,11.686561,16.628730,5.735726,8.399910,0.174583,-0.120942,0.233768
0.020000,11.849899,16.668320,5.903794,8.403369,0.172946,-0.081856,0.241836
0.020000,12.012977,16.709249,6.071929,8.406792,0.171119,-0.091308,0.249972
0.020000,12.175781,16.751526,6.240133,8.410174,0.169102,-0.100852,0.258176
0.020000,12.338295,16.795160,6.408403,8.413512,0.166893,-0.110475,0.266447
0.020000,12.500505,16.840159,6.576739,8.416801,0.164490,-0.120161,0.274783
0.020000,12.662395,16.886532,6.745140,8.420039,0.161892,-0.129896,0.283185
0.020000,12.823949,16.934287,6.913604,8.423221,0.159099,-0.139662,0.291650
0.020000,12.985151,16.983431,7.082131,8.426343,0.156110,-0.149444,0.300177
0.020000,13.145986,17.033971,7.250719,8.429402,0.152925,-0.159222,0.308766
0.020000,13.306435,17.085914,7.419367,8.432393,0.149546,-0.168978,0.317414
0.020000,13.466483,17.139265,7.588073,8.435312,0.145972,-0.178693,0.326121
0.020000,13.626113,17.194031,7.756837,8.438156,0.142205,-0.188347,0.334884
0.020000,13.785307,17.250217,7.925655,8.440921,0.138246,-0.197919,0.343703
0.020000,13.944049,17.307827,8.094527,8.443603,0.134099,-0.207387,0.352576
0.020000,14.102320,17.366865,8.263451,8.446198,0.129764,-0.216729,0.361501
0.020000,14.260103,17.427336,8.432425,8.448703,0.125246,-0.225923,0.370475
0.020000,14.417381,17.489242,8.601447,8.451114,0.120547,-0.234946,0.379498
0.020000,14.574135,17.552585,8.770516,8.453428,0.115671,-0.243773,0.388567
0.020000,14.730347,17.617367,8.939629,8.455640,0.110630,-0.252058,0.397681
0.020000,14.886001,17.683590,9.108784,8.457752,0.105584,-0.252327,0.406836
